Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,BRN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.83128124050345,-0.0510020818698081,-2.23979676428745,6.74385595614444,2.72511796317597,-0.0508749276736591,3.02119624724789,0.193405096909123,2.32045346340365,-2.02009767186099,-2.40527719945676,-9.02951798048648,-3.65328562119822,-9.83685839376391,2.01829774698405,-0.986881712344777,1.32243772092106,2.46223749864578,-1.38584685079643,0.500463893108574,,,,,,
Botswana,BWA,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0847022623664,16.908070131418,15.8255124086924,13.9380703262451,3.56199604708516,4.99382348904241,9.76177326573544,,,,,,,,,,12.5005538693358,5.21618943802149,-6.54767261680813,-12.1246081638181,-7.54224822155284,-0.398989116918367,1.36329270036462,,,
Central African Republic,CAF,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.472933713386181,,,,-0.96771991126884,-6.13606315700279,-9.02187578595399,-6.56950990567819,0.657600216127022,,,
Canada,CAN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.86004350356738,-4.79861567919287,-5.26505221539387,-4.53067547216174,-3.89807629440283,-2.40448622732412,0.346719002723747,0.606746008460517,0.934933934388365,2.21348355376549,1.5644824003402,1.49177940766,1.14435162339091,1.56553068034478,0.835269310133604,1.62557875683468,1.73698405879258,0.650484021336747,-1.167309465249,-1.77079905254159,-1.12524732728335,-0.212200078121228,0.146496684006336,0.550976334524894,
Central Europe and the Baltics,CEB,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.71221631131167,-2.74189521456615,-2.7830640210303,-2.74199719261064,-2.37695361439041,-2.86939800456779,-3.26369079304525,-3.66184122123369,-4.65739782352703,-5.07053009546657,-4.57167698280632,-4.08566170569106,-4.09807474120471,-2.68738647971507,-3.57374538678578,-6.55649738505242,-5.55721186418082,-4.35776355629492,-2.92314502825873,-3.36807415170677,-1.45408461206715,
Switzerland,CHE,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.187509866544216,0.804495976431613,0.457921080101528,0.350102248369897,0.538309683100168,,,,,,,-0.0452477188739371,-1.12256942170409,-1.69956186493695,-1.00713710880592,-0.534728880461467,-0.858595552217461,-1.0046918769264,-0.32923472985478,-0.153629254634355,2.01033635481823,0.28646536204362,-0.454332807953181,-1.05334870378671,-1.25848674223516,-0.767138983258403,0.0390770106592504,0.198323613387895,0.804406196125561,-0.130745706526783,0.0127899808624078,0.55805541465158,0.529284133092492,0.440996732130595,,
Channel Islands,CHI,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,-4.16181122024305,0,2.82303684931715,5.55211071041782,3.89455929553358,2.53339641043257,3.63657996802748,7.30654855819737,7.86556562541014,5.01040707577206,-2.25159799196096,-2.3861951510091,-1.59130751578829,0.48832176977371,1.1180948576118,2.49229797068508,1.47649517083052,2.40716257559005,0.341497861523373,1.24755817525217,2.10293391247438,1.71172328642349,1.47065532440265,2.15692963961604,2.06019791712399,1.91123167916169,0.413659508798621,-1.3399825443659,-1.44862935977046,-1.3273128602615,-1.98265554734056,-1.19634988698655,1.31299909886663,3.66326135173173,6.6765692665251,7.69459558363743,3.82126798827823,-4.92155010974966,-0.424083875475486,1.29226372665501,0.545375912773059,-0.605729482981497,-0.333023930366186,
China,CHN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94060584225051,2.39572611364827,-2.19194659329903,-1.29095549773254,-1.3249361329508,-0.360553567654515,0.0133333698186949,0.319965547029694,1.6312731540629,-0.648485162709133,-3.44943227173673,-2.78675604529973,-2.25957336888733,3.88991322912636,
