,,,,,2008
206,THA,Thailand,ER.MRN.PTMR.NO,Marine protected areas (number),19
207,TMP,Timor-Leste,ER.MRN.PTMR.NO,Marine protected areas (number),
208,TGO,Togo,ER.MRN.PTMR.NO,Marine protected areas (number),1
209,TON,Tonga,ER.MRN.PTMR.NO,Marine protected areas (number),11
210,TTO,Trinidad and Tobago,ER.MRN.PTMR.NO,Marine protected areas (number),13
211,TUN,Tunisia,ER.MRN.PTMR.NO,Marine protected areas (number),4
212,TUR,Turkey,ER.MRN.PTMR.NO,Marine protected areas (number),13
213,TKM,Turkmenistan,ER.MRN.PTMR.NO,Marine protected areas (number),
214,UGA,Uganda,ER.MRN.PTMR.NO,Marine protected areas (number),
215,UKR,Ukraine,ER.MRN.PTMR.NO,Marine protected areas (number),15
216,ARE,United Arab Emirates,ER.MRN.PTMR.NO,Marine protected areas (number),3
217,GBR,United Kingdom,ER.MRN.PTMR.NO,Marine protected areas (number),149
218,USA,United States,ER.MRN.PTMR.NO,Marine protected areas (number),787
219,URY,Uruguay,ER.MRN.PTMR.NO,Marine protected areas (number),4
220,UZB,Uzbekistan,ER.MRN.PTMR.NO,Marine protected areas (number),
221,VUT,Vanuatu,ER.MRN.PTMR.NO,Marine protected areas (number),21
222,VEN,Venezuela RB,ER.MRN.PTMR.NO,Marine protected areas (number),19
223,VNM,Vietnam,ER.MRN.PTMR.NO,Marine protected areas (number),36
224,VIR,Virgin Islands (U.S.),ER.MRN.PTMR.NO,Marine protected areas (number),15
225,WBG,West Bank and Gaza,ER.MRN.PTMR.NO,Marine protected areas (number),
226,YEM,Yemen Rep.,ER.MRN.PTMR.NO,Marine protected areas (number),1
227,ZMB,Zambia,ER.MRN.PTMR.NO,Marine protected areas (number),
228,ZWE,Zimbabwe,ER.MRN.PTMR.NO,Marine protected areas (number),
