,,,,,2008
136,MYS,Malaysia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),684
137,MDV,Maldives,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
138,MLI,Mali,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),10
139,MLT,Malta,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),91
140,MHL,Marshall Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
141,MRT,Mauritania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),3
142,MUS,Mauritius,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),23
143,MYT,Mayotte,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
144,MEX,Mexico,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),182
145,FSM,Micronesia Fed. Sts.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),8
146,MDA,Moldova,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),63
147,MCO,Monaco,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),1
148,MNG,Mongolia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),51
149,MNE,Montenegro,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
150,MAR,Morocco,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),31
151,MOZ,Mozambique,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),46
152,MMR,Myanmar,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),49
153,NAM,Namibia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),31
154,NPL,Nepal,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),19
155,NLD,Netherlands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,948"
156,ANT,Netherlands Antilles,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),11
157,NCL,New Caledonia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),38
158,NZL,New Zealand,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"3,878"
159,NIC,Nicaragua,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),74
160,NER,Niger,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
161,NGA,Nigeria,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),972
162,MNP,Northern Mariana Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
163,NOR,Norway,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,795"
164,OMN,Oman,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
165,PAK,Pakistan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),151
166,PLW,Palau,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
167,PAN,Panama,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),53
168,PNG,Papua New Guinea,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),67
169,PRY,Paraguay,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),33
170,PER,Peru,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),61
171,PHL,Philippines,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),204
172,POL,Poland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,605"
173,PRT,Portugal,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),59
174,PRI,Puerto Rico,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),50
175,QAT,Qatar,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),4
176,ROM,Romania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),923
177,RUS,Russian Federation,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"11,181"
178,RWA,Rwanda,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),5
179,WSM,Samoa,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),11
180,SMR,San Marino,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
181,STP,Sao Tome and Principe,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
182,SAU,Saudi Arabia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),30
183,SEN,Senegal,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),109
184,SRB,Serbia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),68
185,SYC,Seychelles,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),18
186,SLE,Sierra Leone,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),39
187,SGP,Singapore,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
188,SVK,Slovak Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"1,126"
189,SVN,Slovenia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),30
190,SLB,Solomon Islands,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),17
191,SOM,Somalia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
192,ZAF,South Africa,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),931
193,ESP,Spain,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),468
194,LKA,Sri Lanka,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),234
195,KNA,St. Kitts and Nevis,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),2
196,LCA,St. Lucia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),28
197,VCT,St. Vincent and the Grenadines,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),28
198,SDN,Sudan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),20
199,SUR,Suriname,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),15
200,SWZ,Swaziland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),7
201,SWE,Sweden,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"4,622"
202,CHE,Switzerland,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"2,146"
203,SYR,Syrian Arab Republic,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),9
204,TJK,Tajikistan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),15
205,TZA,Tanzania,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),537
206,THA,Thailand,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),206
207,TMP,Timor-Leste,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),6
208,TGO,Togo,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),90
209,TON,Tonga,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),9
210,TTO,Trinidad and Tobago,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),64
211,TUN,Tunisia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),36
212,TUR,Turkey,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),236
213,TKM,Turkmenistan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),18
214,UGA,Uganda,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),732
215,UKR,Ukraine,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"5,197"
216,ARE,United Arab Emirates,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),10
217,GBR,United Kingdom,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),778
218,USA,United States,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),"6,770"
219,URY,Uruguay,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),20
220,UZB,Uzbekistan,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),13
221,VUT,Vanuatu,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),32
222,VEN,Venezuela RB,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),231
223,VNM,Vietnam,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),116
224,VIR,Virgin Islands (U.S.),ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),13
225,WBG,West Bank and Gaza,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),
226,YEM,Yemen Rep.,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),3
227,ZMB,Zambia,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),625
228,ZWE,Zimbabwe,ER.LND.PTLD.TR.NO,Terrestrial protected areas (number),240
