countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Liberia,123,Cherries,531,Production (tonnes),5510,,,,,,,
Libya,124,Cherries,531,Production (tonnes),5510,,,,,,,
Liechtenstein,125,Cherries,531,Production (tonnes),5510,,,,,,,
Lithuania,126,Cherries,531,Production (tonnes),5510,982,1129,1336,324,1086,1400,
Luxembourg,256,Cherries,531,Production (tonnes),5510,170,7,18,12,12,5,
Madagascar,129,Cherries,531,Production (tonnes),5510,,,,,,,
Malawi,130,Cherries,531,Production (tonnes),5510,,,,,,,
Malaysia,131,Cherries,531,Production (tonnes),5510,,,,,,,
Maldives,132,Cherries,531,Production (tonnes),5510,,,,,,,
Mali,133,Cherries,531,Production (tonnes),5510,,,,,,,
Malta,134,Cherries,531,Production (tonnes),5510,,,,,,,
Marshall Islands,127,Cherries,531,Production (tonnes),5510,,,,,,,
Martinique,135,Cherries,531,Production (tonnes),5510,,,,,,,
Mauritania,136,Cherries,531,Production (tonnes),5510,,,,,,,
Mauritius,137,Cherries,531,Production (tonnes),5510,,,,,,,
Mayotte,270,Cherries,531,Production (tonnes),5510,,,,,,,
Mexico,138,Cherries,531,Production (tonnes),5510,,,,6,,18,
Micronesia (Federated States of),145,Cherries,531,Production (tonnes),5510,,,,,,,
Monaco,140,Cherries,531,Production (tonnes),5510,,,,,,,
Mongolia,141,Cherries,531,Production (tonnes),5510,,,,,,,
Montenegro,273,Cherries,531,Production (tonnes),5510,1779,2003,2250,2186,2072,1932,
Montserrat,142,Cherries,531,Production (tonnes),5510,,,,,,,
Morocco,143,Cherries,531,Production (tonnes),5510,6090,6664,7501,8051,8210,7196,
Mozambique,144,Cherries,531,Production (tonnes),5510,,,,,,,
Myanmar,28,Cherries,531,Production (tonnes),5510,,,,,,,
Namibia,147,Cherries,531,Production (tonnes),5510,,,,,,,
Nauru,148,Cherries,531,Production (tonnes),5510,,,,,,,
Nepal,149,Cherries,531,Production (tonnes),5510,,,,,,,
Netherlands,150,Cherries,531,Production (tonnes),5510,360,370,468,450,554,600,
Netherlands Antilles,151,Cherries,531,Production (tonnes),5510,,,,,,,
New Caledonia,153,Cherries,531,Production (tonnes),5510,,,,,,,
New Zealand,156,Cherries,531,Production (tonnes),5510,1900,2133,1850,2500,1731,1731,
Nicaragua,157,Cherries,531,Production (tonnes),5510,,,,,,,
Niger,158,Cherries,531,Production (tonnes),5510,,,,,,,
Nigeria,159,Cherries,531,Production (tonnes),5510,,,,,,,
Niue,160,Cherries,531,Production (tonnes),5510,,,,,,,
Norfolk Island,161,Cherries,531,Production (tonnes),5510,,,,,,,
Northern Mariana Islands,163,Cherries,531,Production (tonnes),5510,,,,,,,
Norway,162,Cherries,531,Production (tonnes),5510,673,895,1247,891,576,580,
Occupied Palestinian Territory,299,Cherries,531,Production (tonnes),5510,1119,1196,1050,510,600,650,
Oman,221,Cherries,531,Production (tonnes),5510,,,,,,,
Pacific Islands Trust Territory,164,Cherries,531,Production (tonnes),5510,,,,,,,
Pakistan,165,Cherries,531,Production (tonnes),5510,2321,2314,1976,1973,1999,2000,
Palau,180,Cherries,531,Production (tonnes),5510,,,,,,,
Panama,166,Cherries,531,Production (tonnes),5510,,,,,,,
Papua New Guinea,168,Cherries,531,Production (tonnes),5510,,,,,,,
Paraguay,169,Cherries,531,Production (tonnes),5510,,,,,,,
Peru,170,Cherries,531,Production (tonnes),5510,356,252,265,17,10,10,
Philippines,171,Cherries,531,Production (tonnes),5510,,,,,,,
Pitcairn Islands,172,Cherries,531,Production (tonnes),5510,,,,,,,
Poland,173,Cherries,531,Production (tonnes),5510,20186,40818,50505,40134,37984,41063,
Portugal,174,Cherries,531,Production (tonnes),5510,9613,10827,12064,9926,13444,10500,
Puerto Rico,177,Cherries,531,Production (tonnes),5510,,,,,,,
Qatar,179,Cherries,531,Production (tonnes),5510,,,,,,,
Republic of Korea,117,Cherries,531,Production (tonnes),5510,,,,,,,
