,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
35,BRB,Barbados,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,"700,000","-405,089","-1,977,847","-1,684,343","-48,704","-1,337,384","5,250,000","700,000","5,550,000","1,900,000","300,000","-6,900,000","-10,050,000","-16,200,000","-17,000,000","-19,650,000","-27,600,000","-33,600,000","-35,500,000","-25,850,000","-45,650,000","-39,500,000","-19,800,000","-32,100,000","-31,500,000","-40,450,000","-45,600,000","-40,300,000","-46,600,000","-60,200,000","-71,050,000","-82,000,000","-87,988,000","-92,178,000","-103,969,200","-148,607,800","-199,921,000","-100,709,500",
36,BLR,Belarus,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,400,000","-28,800,000","-51,000,000","-30,800,000","-84,600,000","-92,900,000","-42,000,000","-46,700,000","-48,900,000","-51,200,000","14,200,000","-900,000","-71,000,000","-120,800,000","-411,100,000","-787,900,000"
37,BEL,Belgium,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"590,689,900","760,290,800","699,813,000","794,459,500","519,586,100","60,917,940","8,515,539","-179,933,800","-107,819,200","8,429,633","-21,072,860","245,001,000","485,138,000","496,178,600","2,684,182,000","2,316,457,000","3,177,760,000","2,986,007,000","4,873,118,000","5,237,467,000","6,807,877,000","7,046,021,000","6,354,285,000","5,936,343,000","5,766,640,000","5,047,882,000","2,906,878,000","4,475,123,000","6,481,126,000","5,621,714,000","5,423,679,000","4,953,085,000","7,113,102,000","6,966,416,000"
38,BLZ,Belize,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,"-13,500,000","-10,250,000","-2,400,000","-7,450,000","-7,700,000","-9,400,000","-10,200,000","-10,800,000","-16,100,000","-17,500,000","-25,318,000","-22,251,000","-26,060,000","-23,355,000","-32,100,000","-40,140,740","-52,899,080","-67,049,500","-67,481,160","-89,477,870","-116,744,100","-114,426,200","-125,282,500","-158,952,800","-156,589,500"
39,BEN,Benin,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"2,284,958","-1,264,506","33,480","-195,376","252,597","1,264,563","8,115,349","561,336","-18,961,900","-46,897,380","-48,094,010","-28,045,940","-25,988,580","-28,633,320","-32,290,270","-30,521,780","-25,497,600","-15,396,650","7,024,018","5,009,490","-2,865,970","-7,588,324","-20,953,860","-19,992,480","-13,402,790","-11,393,550","-12,267,260","-13,408,570","-25,844,050","-38,093,580","-37,000,880","-17,758,420","-30,212,850","-49,586,160",
40,BMU,Bermuda,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,597,731,000","1,824,330,000","1,827,155,000"
41,BTN,Bhutan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BOL,Bolivia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-31,500,000","-67,100,000","-113,900,000","-182,300,000","-263,100,000","-362,200,000","-410,700,000","-361,800,000","-414,900,000","-372,900,000","-308,500,000","-277,700,000","-264,800,000","-259,100,000","-248,600,000","-247,000,000","-197,700,000","-205,900,000","-182,500,000","-206,600,000","-208,200,000","-196,500,000","-161,900,000","-196,000,000","-225,294,000","-211,346,000","-204,680,000","-302,610,300","-384,653,500","-376,410,000","-397,247,200","-489,437,600","-536,375,800"
43,BIH,Bosnia and Herzegovina,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"809,078,500","728,054,700","590,357,900","532,396,600","508,041,600","533,295,200","504,484,100","469,502,200","416,759,300","541,794,300","602,977,200"
44,BWA,Botswana,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"53,954,810","7,475,002","13,896,150","-9,539,254","2,822,063","-32,937,700","56,290,000","37,293,830","-47,222,880","-97,968,740","-131,454,000","-129,154,500","-243,546,400","-326,700,300","-238,822,500","-105,887,500","62,872,340","112,384,300","293,635,200","-224,349,900","-32,429,040","-253,063,600","-144,795,700","119,570,100","-266,197,000","-351,337,500","-137,094,400","-698,160,000","-715,757,800","-992,360,700","-839,967,200","-772,189,700","-738,123,600","-256,144,300"
