,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
122,KGZ,Kyrgyz Republic,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,683,000","-22,004,000","-35,420,000","-39,470,000","-64,672,000","-79,150,850","-73,549,370","-82,014,990","-59,109,300","-57,803,620","-62,022,060","-101,649,200","-85,177,350","-43,095,030","-52,379,250","-103,228,700"
123,LAO,Lao PDR,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,"-3,100,000","-2,400,000","-1,500,000","-1,400,000","-2,100,000","-2,300,000","-1,000,000","-1,100,000","1,000,000","3,000,000","-2,000,000","-5,500,000","-4,300,000","-17,800,000","-34,900,000","-39,400,000","-52,370,000","-33,820,000","-42,300,000","-46,900,000","-56,400,000","-78,700,000","-60,000,000","-50,300,000",
124,LVA,Latvia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500,337","7,216,000","8,601,000","18,587,000","41,175,000","54,914,000","53,400,000","-55,800,000","17,400,000","57,500,000","54,000,000","-24,300,000","-275,300,000","-176,000,000","-532,300,000","-908,200,000","-595,600,000"
125,LBN,Lebanon,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-867,858,500","-3,437,588,000","-817,644,300","-186,403,800","183,670,000","740,083,600","-76,899,370"
126,LSO,Lesotho,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"122,513,900","138,575,000","165,600,000","177,790,000","213,652,200","265,525,200","292,754,100","346,283,400","382,568,900","332,425,600","233,008,400","258,337,400","349,776,000","369,972,600","359,690,500","433,143,700","1,418,992,000","463,713,500","421,672,200","330,161,400","314,170,200","333,467,600","337,452,100","234,028,800","244,449,100","226,118,800","178,610,600","161,873,900","249,764,000","302,847,900","304,807,400","380,655,400","428,093,100","507,257,100"
127,LBR,Liberia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,"-13,700,000","-23,988,700","-21,112,690","-72,299,980","-153,556,200","-126,829,800","-128,081,200","-181,200,000","-183,100,000",,,,,,,,,,,,,,,,,"-162,599,500","-146,614,300","-148,322,700","-149,932,900","-653,404,500"
128,LBY,Libya,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-1,215,331,000","-1,053,197,000","-849,853,600","-64,853,740","109,440,300","-508,692,700","-756,621,300","-667,448,100","-76,675,460","-44,071,610","364,611,300","324,741,000","59,746,000","173,742,800","148,542,200","323,917,300","-30,883,440","45,067,260","133,446,600","179,716,200","236,728,200","314,816,200","310,902,700","-429,000,000","-899,000,000","265,000,000","540,000,000","-55,000,000","-281,000,000","-595,000,000","2,017,000,000","586,400,000"
129,LIE,Liechtenstein,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,LTU,Lithuania,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,260,130","8,628,958","-12,865,000","-91,000,000","-198,360,000","-255,400,000","-257,740,000","-193,782,500","-179,750,000","-183,344,200","-482,253,300","-612,363,000","-627,050,300","-816,957,100","-1,613,737,000","-1,538,875,000"
131,LUX,Luxembourg,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,588,921,000","1,255,412,000","467,559,900","236,279,900","-481,513,800","-1,277,823,000","-1,639,389,000","-3,359,456,000","-3,955,700,000","-4,311,450,000","-6,732,477,000","-10,983,290,000","-15,550,430,000","-17,866,330,000"
132,MAC,Macao SAR China,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,623,420","-152,382,900","-572,252,800","-776,028,000","-1,556,942,000","-155,582,700","-2,137,545,000"
133,MKD,Macedonia FYR,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-29,710,000","-33,550,000","-52,250,000","-71,822,210","-64,525,470","-27,973,800","-44,327,800","-62,388,430","-39,187,750","-113,455,600","-36,648,870","-34,510,770","-108,173,600"
134,MDG,Madagascar,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-17,822,740","-16,891,250","-16,865,480","-5,698,499","-7,267,732","-27,218,770","-43,875,680","-88,327,570","-95,267,620","-118,132,400","-146,026,000","-128,831,600","-155,090,600","-174,698,500","-179,282,800","-189,318,300","-160,907,900","-161,194,500","-147,068,100","-150,941,900","-155,336,800","-166,739,700","-162,747,900","-94,959,900","-78,281,350","-42,471,280","-41,733,400","-82,355,710","-132,039,300","-77,150,650","-74,146,280","-80,253,630",,,
135,MWI,Malawi,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,"-48,355,840","-125,845,000","-149,120,400","-130,124,100","-91,425,080","-100,530,900","-113,699,100","-114,187,900","-111,548,500","-89,417,390","-98,699,850","-88,638,470","-79,593,050","-85,541,660","-77,096,520","-68,683,900","-42,340,070","-44,330,960","-35,323,590","-28,771,530","-36,609,880","-24,998,660","-17,280,090","-30,406,490","-38,494,500",,,,,,
136,MYS,Malaysia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-414,197,100","-299,525,900","-427,687,600","-514,365,800","-736,601,600","-905,210,300","-836,057,700","-796,831,700","-1,147,131,000","-1,812,816,000","-2,242,237,000","-2,188,445,000","-1,780,788,000","-1,963,377,000","-1,941,359,000","-2,179,160,000","-1,871,806,000","-2,472,304,000","-3,142,833,000","-3,210,837,000","-3,594,542,000","-4,143,501,000","-4,690,489,000","-5,366,147,000","-3,903,806,000","-5,496,316,000","-7,607,631,000","-6,742,895,000","-6,595,000,000","-5,928,053,000","-6,421,763,000","-6,318,084,000","-4,711,944,000","-4,054,809,000","-7,136,578,000"
137,MDV,Maldives,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,"-1,600,000","-2,700,000","-3,500,000","-5,300,000","-9,500,000","-12,200,000","-13,200,000","-18,487,000","-15,605,000","-9,689,200","-12,504,800","-13,793,800","-14,830,220","-17,100,000","-19,011,040","-20,203,420","-19,963,470","-21,878,670","-27,443,300","-28,160,180","-31,027,370","-29,986,640","-37,244,910","-35,428,570","-38,406,060","-35,171,700","-30,953,110","-40,755,390","-67,202,980","-64,054,040"
138,MLI,Mali,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-21,673,920","-16,551,550","-19,781,860","-13,294,580","-11,752,450","-16,874,980","-32,576,020","-24,197,630","-27,501,950","-19,223,870","-13,800,380","-21,657,150","-24,879,750","-32,533,350","-30,908,290","-36,728,950","-24,175,230","-28,221,500","-13,031,380","-40,399,520","-40,649,230","-43,031,760","-51,685,080","-50,797,370","-70,058,570","-98,178,830","-166,034,900","-240,190,600","-159,924,200","-194,840,000","-206,852,300","-269,431,400","-291,443,100",
139,MLT,Malta,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,"18,422,650","21,489,780","21,692,170","32,945,800","49,118,550","45,632,480","50,436,980","47,225,710","40,728,650","95,534,020","110,679,900","145,338,100","110,070,700","118,646,300","103,803,600","102,292,000","113,750,900","103,065,800","117,362,600","190,100,400","174,361,400","154,287,900","114,983,600","68,850,350","38,700,180","10,180,880","8,837,432","-66,971,570","40,112,100","-91,490,070","39,336,200","23,699,070","-29,139,020","-51,859,930","-247,082,000","-262,502,400","-227,459,300","-254,969,000"
140,MHL,Marshall Islands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,MRT,Mauritania,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-30,089,840","-58,571,040","-43,411,420","-27,078,260","-31,399,470","-26,854,510","-50,542,660","-45,606,300","-62,286,010","-39,104,540","-92,132,060","-116,275,600","-89,241,320","-85,542,500","-50,041,540","-46,409,210","-32,850,970","-28,818,730","-96,833,070","-46,603,280","-48,208,990","-45,007,470","-38,899,380","-31,584,950",,,,,,,,,,
142,MUS,Mauritius,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"5,836,991","-2,875,604","-7,788,067","-16,803,770","-23,164,140","-45,543,340","-45,803,420","-41,431,040","-45,361,220","-45,329,500","-54,134,900","-41,387,720","-44,129,490","-19,803,580","-22,807,600","5,686,063","10,987,450","3,513,141","-24,665,420","-19,095,480","-43,960,170","-17,666,120","-26,549,800","-16,556,940","-16,204,680","14,286,410","13,162,020","-30,032,860","-13,966,340","-8,478,368","50,063,310","223,092,900","178,163,700"
143,MYT,Mayotte,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,MEX,Mexico,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,"-3,783,000,000","-6,277,000,000","-9,875,000,000","-12,049,000,000","-9,024,000,000","-9,967,000,000","-8,867,000,000","-7,367,000,000","-6,585,000,000","-7,043,000,000","-8,101,000,000","-8,316,000,000","-8,265,000,000","-9,209,000,000","-11,030,000,000","-12,258,810,000","-12,689,090,000","-13,475,130,000","-12,105,640,000","-12,824,300,000","-11,912,000,000","-13,736,300,000","-12,933,200,000","-11,855,500,000","-11,400,400,000","-9,395,500,000","-13,633,700,000","-17,752,300,000","-18,220,800,000","-17,250,400,000"
145,FSM,Micronesia Fed. Sts.,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,MDA,Moldova,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,315,000","-18,160,000","55,120,000","47,430,000","34,500,000","24,710,000","21,580,000","95,830,000","156,580,000","230,790,000","357,040,000","410,890,000","402,460,000","416,310,000","597,820,000"
147,MCO,Monaco,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,MNG,Mongolia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,"-10,900,000","-20,400,000","-31,100,000","-39,000,000","-45,000,000","-1,700,000","-11,300,000","-34,200,000","-48,900,000","-43,600,000","-4,900,000","-26,900,000","-20,200,000","-19,300,000","-25,400,000","-13,300,000","-12,000,000","400,000","100,000","-6,500,000","-2,026,334","-4,534,295","-11,500,000","-11,110,000","-50,750,000","-144,530,000",,
149,MNE,Montenegro,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,MAR,Morocco,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-66,625,740","-98,884,160","-158,104,700","-283,679,700","-408,808,700","-562,153,700","-702,202,700","-649,839,900","-620,419,000","-575,220,400","-765,714,800","-688,565,000","-766,697,900","-1,036,892,000","-1,159,378,000","-987,826,000","-1,115,482,000","-1,056,820,000","-1,207,694,000","-1,170,415,000","-1,317,762,000","-1,308,646,000","-1,175,278,000","-1,033,483,000","-985,576,000","-864,324,700","-832,665,700","-738,336,600","-792,004,900","-670,613,200","-383,672,200","-476,764,400","-404,635,000","-521,957,000"
151,MOZ,Mozambique,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,"22,000,000","-800,000","-20,400,000","-32,900,000","-49,600,000","-101,500,000","-127,700,000","-115,400,000","-70,400,000","-125,500,000","-97,400,000","-109,900,000","-139,700,000","-131,800,000","-132,400,000","-140,000,000","-101,100,000","-104,600,000","-141,500,000","-157,000,000","-192,100,000","-234,667,200","-603,175,800","-165,495,900","-299,509,300","-359,883,200","-634,465,300","-591,627,600","-631,338,200"
152,MMR,Myanmar,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-14,600,930","-14,910,910","-18,788,570","-29,156,330","-47,486,170","-50,029,860","-51,637,210","-68,727,920","-77,013,830","-69,636,740","-107,789,000","-77,084,280","-77,095,230","-54,974,560","-191,626,100","-273,869,400","-149,444,000","-58,927,220","-67,311,200","-109,892,500","-44,432,290","-13,849,260","-419,922","-2,980,484","-133,310,100","-512,762,400","-583,092,700","-741,544,400","-745,449,500","-1,371,705,000","-1,248,388,000",,
153,NAM,Namibia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,490,520","96,620,630","16,409,460","57,991,120","54,016,020","138,871,900","70,196,670","71,398,160","60,796,440","-64,101,630","-97,800,550","-147,776,800","-11,857,400","131,281,600","4,882,582","-127,174,600","-62,855,920","-158,361,900","-39,845,140"
154,NPL,Nepal,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"5,104,000","8,080,000","5,548,105","11,266,670","11,583,330","10,972,580","15,671,920","5,666,973","298,363","767,035","700,561","120,455","1,797,485","10,724,290","13,926,200","10,839,290","16,716,020","5,170,749","3,758,130","8,711,737","1,073,854","3,268,986","18,929,630","27,353,430","37,002,360","11,483,310","-14,320,910","-20,290,980","-14,994,900","48,303,310","62,118,350","136,661,700","151,009,400"
155,NLD,Netherlands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,"924,861,900","870,718,200","933,701,600","836,740,400","782,301,100","1,033,340,000","1,396,313,000","1,445,000,000","336,982,700","988,928,400","908,860,100","237,172,000","2,281,887,000","1,535,466,000","368,531,800","379,861,500","1,113,050,000","1,350,107,000","-235,627,300","-192,392,200","1,326,781,000","1,118,652,000","2,821,208,000","-620,225,400","432,062,200","-929,223,200","880,924,700","3,666,505,000","7,247,094,000","3,546,680,000","6,983,852,000","-2,692,735,000","3,526,477,000","-2,296,894,000","-172,481,900","58,583,280","1,232,807,000","11,365,950,000","3,936,556,000","16,582,370,000","8,101,753,000","-14,581,610,000"
156,ANT,Netherlands Antilles,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-84,333,340","-70,555,550","-148,000,000","-444,055,600","-329,222,200","-261,277,800","-94,666,660","-85,277,780","77,722,220","29,833,330","20,555,560","36,111,110","39,611,110","35,855,020","16,592,180","17,206,700","11,452,510","-17,597,770","34,245,810","18,044,690","63,743,020","46,703,910","36,871,510","-20,418,990","23,438,550","19,905,030","695,531","-7,117,319","-10,284,920","-4,083,799","-1,117,318","10,256,980",
157,NCL,New Caledonia,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,811,100","338,223,200","412,754,400","482,496,300","422,492,800","493,260,800","547,931,000"
158,NZL,New Zealand,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,"-149,400,000","-185,936,100","-117,416,400","-296,765,400","-419,947,000","-434,819,900","-584,804,400","-517,116,700","-537,816,100","-644,065,700","-741,722,400","-896,974,200","-2,298,248,000","-2,334,712,000","-2,594,125,000","-3,176,194,000","-3,582,497,000","-1,884,295,000","-1,575,695,000","-2,533,317,000","-2,408,443,000","-2,940,685,000","-3,415,840,000","-3,955,224,000","-4,713,635,000","-4,854,747,000","-2,612,410,000","-3,116,620,000","-3,442,757,000","-3,118,667,000","-3,210,010,000","-4,221,150,000","-5,842,374,000","-7,289,755,000","-7,861,967,000","-9,429,584,000","-9,830,514,000"
159,NIC,Nicaragua,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-69,000,000","-94,700,000","-71,100,000","-123,520,000","-182,600,000","-185,200,000","-214,200,000","-263,400,000","-273,300,000","-253,600,000","-243,900,000","-262,100,000","-204,800,000","-217,000,000","-363,300,000","-494,800,000","-429,100,000","-472,200,000","-372,100,000","-324,300,000","-264,700,000","-185,200,000","-196,800,000","-201,800,000","-240,300,000","-205,900,000","-198,200,000","-192,100,000","-150,000,000","-128,500,000","-134,600,000","-160,600,000"
160,NER,Niger,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"16,376,920","20,838,690","-3,787,396","-162,814","-29,815,310","19,800,520","-32,923,200","-28,723,210","-24,540,010","-38,659,970","-41,761,580","-42,262,550","-37,166,560","-63,453,180","-65,654,240","-40,967,590","-54,057,670","-13,530,330","-34,421,160","-10,877,140","-29,553,060","-47,114,240","-27,789,920","-28,437,330","-23,445,980","-18,887,470","-16,486,500","-14,895,530","-24,163,970","-26,128,690","-12,890,770","-9,501,996","1,212,492","-440,256",
161,NGA,Nigeria,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-536,682,800","-228,248,700","-448,670,000","-1,303,996,000","-673,457,200","-1,189,378,000","-875,195,100","-1,180,649,000","-1,463,457,000","-742,652,000","-2,879,953,000","-2,364,355,000","-2,392,347,000","-2,738,110,000","-2,420,314,000","-2,338,199,000","-3,277,702,000","-2,937,670,000","-2,878,422,000","-3,022,268,000","-3,145,483,000","-2,290,730,000","-2,577,953,000","-3,147,738,000","-2,797,680,000","-2,670,111,000","-3,242,948,000","-2,531,789,000","-2,256,435,000","-6,603,397,000","-11,752,610,000","-11,179,970,000"
162,MNP,Northern Mariana Islands,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,NOR,Norway,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-349,643,000","-538,037,900","-877,858,000","-1,367,909,000","-1,830,361,000","-1,921,544,000","-1,842,575,000","-1,958,002,000","-1,747,479,000","-1,576,992,000","-1,052,745,000","-1,159,894,000","-1,285,654,000","-2,009,290,000","-2,569,970,000","-2,699,602,000","-2,752,647,000","-2,811,811,000","-2,787,234,000","-2,174,070,000","-1,918,980,000","-1,881,245,000","-1,693,901,000","-1,244,105,000","-1,336,425,000","-2,305,446,000","169,060,400","696,710,900","1,365,129,000","546,880,200","1,971,325,000","-621,745,600","2,000,856,000","2,915,036,000"
164,OMN,Oman,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-290,967,000","-295,309,800","-214,823,400","-159,525,200","-113,202,100","-149,102,500","-256,803,700","-238,564,000","-152,866,200","-183,265,800","-215,404,000","-325,714,000","-71,207,560","-89,466,840","-314,694,400","-250,195,100","-254,356,300","-236,671,000","-411,183,400","-266,840,000","-466,580,000","-373,992,200","-437,800,000","-390,400,000","-500,700,000","-659,100,000","-837,700,000","-858,517,600","-719,635,900","-539,922,000","-389,857,000","-1,021,586,000","-666,319,900","-848,114,400","-2,214,044,000"
165,PAK,Pakistan,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-136,095,400","-189,376,700","-200,134,400","-275,032,500","-273,104,300","-266,609,000","-406,735,300","-420,107,700","-473,260,400","-582,663,700","-649,994,500","-793,162,500","-817,739,700","-967,267,800","-1,084,289,000","-1,188,415,000","-1,411,208,000","-1,546,786,000","-1,680,170,000","-1,938,736,000","-2,022,341,000","-2,219,749,000","-2,180,000,000","-1,840,000,000","-2,218,000,000","-2,076,000,000","-2,286,000,000","-2,224,000,000","-2,363,010,000","-2,514,000,000","-3,131,440,000","-3,740,000,000","-4,294,000,000"
166,PLW,Palau,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,PAN,Panama,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"40,200,000","67,100,000","37,400,000","-396,700,000","-516,800,000","-324,400,000","-85,000,000","-305,300,000","-151,500,000","-415,600,000","176,600,000","-87,900,000","-266,400,000","-255,400,000","-432,400,000","-401,000,000","-285,600,000","-222,300,000","-465,900,000","-249,200,000","-399,600,000","-517,300,000","-691,100,000","-560,200,000","-590,100,000","-272,300,000","-808,700,000","-1,020,354,000","-1,125,600,000","-1,258,300,000","-1,306,400,000","-1,573,800,000"
168,PNG,Papua New Guinea,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-55,382,660","-50,993,920","-65,091,230","-108,714,000","-179,169,700","-161,721,300","-121,272,400","-121,999,800","-148,559,400","-106,253,400","-135,696,100","-161,460,400","-207,603,200","-178,174,900","-103,251,100","-213,247,700","-365,658,600","-368,847,000","-400,997,600","-488,135,500","-429,082,500","-309,666,400","-258,797,100","-272,517,700","-210,064,300","-230,254,200","-202,119,500","-476,756,700","-436,177,700","-538,467,800",,,
169,PRY,Paraguay,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-25,900,000","-20,500,000","-17,700,000","-25,400,000","4,400,000","-5,500,000","42,300,000","65,200,000","-9,300,000","-37,800,000","-38,300,000","-46,500,000","-111,200,000","-81,300,000","-23,400,000","1,700,000","-9,700,000","-28,300,000","55,700,000","113,800,000","109,700,000","109,700,000","33,200,000","6,000,000","17,500,000","22,392,000","15,800,000","42,777,500","-4,182,772","-133,714,300","-57,821,840","-91,566,130","-157,886,300","-151,183,600"
170,PER,Peru,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-423,300,000","-577,700,000","-966,400,000","-909,000,000","-1,019,000,000","-1,034,000,000","-1,130,000,000","-1,177,000,000","-974,000,000","-1,100,640,000","-1,312,470,000","-1,514,860,000","-1,685,180,000","-1,733,000,000","-1,369,000,000","-1,414,000,000","-1,670,270,000","-1,943,863,000","-2,481,845,000","-1,898,522,000","-1,822,227,000","-1,203,921,000","-1,112,039,000","-1,409,594,000","-1,101,046,000","-1,457,033,000","-2,143,809,000","-3,685,863,000","-5,076,136,000","-7,582,510,000","-8,418,111,000","-8,144,037,000"
171,PHL,Philippines,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-125,000,000","-118,000,000","-206,000,000","-420,000,000","-503,000,000","-1,021,000,000","-836,000,000","-1,449,000,000","-1,300,000,000","-1,301,000,000","-1,190,000,000","-1,185,000,000","-1,349,000,000","-872,000,000","-500,000,000","445,000,000","924,000,000","1,850,000,000","3,662,000,000","3,282,000,000","4,681,000,000","3,769,000,000","-1,061,000,000","-27,000,000","-51,000,000","-427,000,000","-284,000,000","-71,000,000","-294,000,000","-1,255,000,000","-892,000,000","140,000,000"
172,POL,Poland,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-651,000,000","-888,000,000","-1,204,000,000","-1,667,000,000","-2,357,000,000","-3,224,000,000","-3,063,000,000","-2,794,000,000","-2,638,000,000","-2,557,000,000","-2,673,000,000","-2,915,000,000","-2,955,000,000","-3,213,000,000","-3,386,000,000","-2,896,000,000","-4,167,000,000","-3,613,000,000","-2,563,000,000","-1,995,000,000","-1,075,000,000","-1,129,000,000","-1,178,000,000","-1,010,000,000","-731,000,000","-614,000,000","-1,061,000,000","-2,461,000,000","-8,244,000,000","-6,697,000,000","-9,728,000,000","-16,448,000,000","-14,210,000,000"
173,PRT,Portugal,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,"-24,274,140","-136,856,800","-181,342,100","-323,705,100","-420,596,000","-608,135,000","-934,954,400","-1,251,804,000","-1,045,173,000","-1,159,998,000","-1,096,186,000","-975,831,700","-831,414,600","-760,525,800","-602,935,400","-96,135,820","185,695,200","611,263,000","219,666,800","-564,368,600","20,902,240","-888,879,100","-1,347,553,000","-1,509,237,000","-1,635,877,000","-2,370,837,000","-3,457,817,000","-2,991,176,000","-2,638,271,000","-3,706,657,000","-4,843,375,000","-7,925,718,000","-9,517,272,000","-11,495,290,000"
174,PRI,Puerto Rico,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,QAT,Qatar,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ROM,Romania,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,"-58,000,000","-69,000,000","-89,000,000","-118,000,000","-132,000,000","-168,000,000","-358,000,000","-777,000,000","-1,017,000,000","-851,000,000","-710,000,000","-659,000,000","-613,000,000","-542,000,000","-390,000,000","-198,000,000","80,000,000","161,000,000","15,000,000","-90,000,000","-145,000,000","-129,000,000","-241,000,000","-309,000,000","-322,000,000","-442,000,000","-411,000,000","-285,000,000","-282,000,000","-459,000,000","-705,000,000","-3,149,000,000","-2,899,600,000","-4,078,970,000","-5,662,000,000","-5,372,000,000"
177,RUS,Russian Federation,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,840,092,000","-3,371,612,000","-5,434,455,000","-8,691,579,000","-11,789,680,000","-7,715,914,000","-6,736,459,000","-4,238,024,000","-6,977,975,000","-13,170,650,000","-12,771,100,000","-18,949,220,000","-29,432,310,000","-30,751,900,000","-49,195,770,000"
178,RWA,Rwanda,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,"-3,793,332","-4,304,994","-5,274,456","-3,760,495","1,800,988","9,098,178","-2,686,440","-7,659,172","-6,454,967","-7,872,020","-13,072,130","-14,006,930","-22,028,120","-14,086,270","-16,283,550","-13,733,950","-11,311,150","-15,211,070",,"6,720,516","-13,420,520","-16,746,280","-7,130,633","-10,682,870","-14,653,000","-19,934,470","-18,730,000","-30,535,850","-33,650,000","-16,320,000","-20,906,500","-14,811,130","-34,014,970"
179,WSM,Samoa,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,"-114,493","-1,493,890","-1,621,965","-2,534,519","-2,659,356","-2,153,508","-2,698,287","-1,986,784","-1,897,319","-1,077,933","527,867","764,263","2,083,525","5,164,834","4,813,258","3,604,578","-89,543","-418,140","234,495","3,013,598","1,383,152","3,575,685","398,254",,,,,"-17,829,870","-14,129,670","-11,521,290","-16,731,230",
180,SMR,San Marino,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,STP,Sao Tome and Principe,BN.GSR.FCTY.CD,Net income (BoP current US$),,,,,,,,,,,,,,,"-460,482","3,914.90","-43,005","524,521","1,214,226","1,967,190","2,361,136","1,411,478","-265,863","-687,371","-588,786","-1,591,772","-3,252,221","-660,380","-170,251","-222,183","-50,000",,,,,,,,"-5,205,600","-5,316,000","-3,618,600","-3,149,023","-3,341,934","-2,517,880","-3,096,141","-2,927,528","3,032,251","4,474,509",
