countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Mauritius,137,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Mayotte,270,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Mexico,138,"Coffee, green",656,Production (tonnes),5510,268565,260442,264472,245271,237056,246121,
Micronesia (Federated States of),145,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Monaco,140,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Mongolia,141,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Montenegro,273,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Montserrat,142,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Morocco,143,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Mozambique,144,"Coffee, green",656,Production (tonnes),5510,720,730,740,770,800,900,
Myanmar,28,"Coffee, green",656,Production (tonnes),5510,4800,6384,7143,7367,7714,8000,
Namibia,147,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Nauru,148,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Nepal,149,"Coffee, green",656,Production (tonnes),5510,460,500,268,307,402,425,
Netherlands,150,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Netherlands Antilles,151,"Coffee, green",656,Production (tonnes),5510,,,,,,,
New Caledonia,153,"Coffee, green",656,Production (tonnes),5510,21,33,9,13,21,23,
New Zealand,156,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Nicaragua,157,"Coffee, green",656,Production (tonnes),5510,100000,75957,92205,78712,103664,107000,
Niger,158,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Nigeria,159,"Coffee, green",656,Production (tonnes),5510,2520,3000,2040,2400,2600,2800,
Niue,160,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Norfolk Island,161,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Northern Mariana Islands,163,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Norway,162,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Occupied Palestinian Territory,299,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Oman,221,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Pacific Islands Trust Territory,164,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Pakistan,165,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Palau,180,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Panama,166,"Coffee, green",656,Production (tonnes),5510,13790,13324,12961,12470,13079,14000,
Papua New Guinea,168,"Coffee, green",656,Production (tonnes),5510,58080,61680,60240,52220,84870,86000,
Paraguay,169,"Coffee, green",656,Production (tonnes),5510,3100,273,281,370,370,400,
Peru,170,"Coffee, green",656,Production (tonnes),5510,225992,273780,243479,264605,331547,303264,
Philippines,171,"Coffee, green",656,Production (tonnes),5510,97877,97428,96433,94536,88526,88943,
Pitcairn Islands,172,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Poland,173,"Coffee, green",656,Production (tonnes),5510,,,,,,,
Portugal,174,"Coffee, green",656,Production (tonnes),5510,,,,,,,
