"Data Source","World Development Indicators",

"Last Updated Date","2016-07-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Antigua and Barbuda","ATG","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27517986290527","1.21834548089621","6.63956420052983","2.27684443010646","5.273915713245","6.35106013527966","5.33657949252209","5.68649784036448","6.74526840943877","5.30691954034215","2.66739205050129","1.86296040135503","0.845241264699175","0.905882583279174","1.43905643981124","1.43831377537537","4.83667383922337","5.0092088604651","6.71223186455514","5.23257913253938","",
"Burundi","BDI","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","20.4205134197309","24.5041086759241","41.327260074609","33.2893805148941","36.4307521688578","43.4154240159442","30.6075915227849","36.5347319335346","36.1922965870589","39.4807461347586","27.6495250587427","53.9508297439441","30.3281914078269","42.339187787144","48.6937309189299","40.8552462518187","50.7756410503497","60.0977269075155","64.2022090919473","134.788015980909","40.5175087159555","20.4253794507292","18.5094710646631","11.9804417626341","16.5960836474213","2.39639479146001","4.20851760346362","8.78819499142288","13.6944199852359","","",
"Belgium","BEL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","5.23720144931951","4.12176642507165","3.58530013740553","2.35051179999937","3.08450456434907","3.57790543428262","8.36465134065044","4.8577341746741","12.91912155552","17.5843385476527","16.3682579752441","14.3670612512693","16.153982991728","8.85974837137303","9.15107542772316","8.81141979870613","9.86427894421291","5.56572829664265","5.13018570650926","5.44843271481889","7.08268441004551","7.51405322064096","6.32511018580064","9.16212036329071","9.96896868582212","10.9950438451175","13.6440846532696","8.65337831148026","8.99476071167257","5.24025250945784","5.03325934273221","6.00425533178207","4.24382389476893","2.1655729997002","3.72480548929176","3.55684463611859","3.29280376781618","4.01342927989495","4.32356848974022","5.08812233468626","","",
"Burkina Faso","BFA","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","4.47891545129417","5.50069777542461","4.39287279800873","4.61899070757188","5.25738874161604","5.07406897554989","9.83653749767428","9.39185164064791","10.7630075080956","11.5269744916739","12.3601424536427","17.5946546907154","18.312167005694","12.52969786724","13.6515897855594","15.1887323205374","9.35124598682465","13.0925228378777","10.3389388557334","12.1140801316923","15.2716743851952","","","","","","18.7928528452189","13.7977905710315","14.1958251515353","11.9782744386957","8.91890563719372","7.78741594289718","6.07812785258275","5.23269807992934","3.89775288393123","3.82443046397275","2.47358316758521","2.31291269873307","2.03897783578063","2.80159857641301","","",
"Bangladesh","BGD","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","28.7037630477268","25.0735223490867","20.134069001636","23.3216030101322","22.0834706171954","18.9132100863029","21.6362126306537","21.9012917138616","23.7089234029079","25.548281646497","38.5375523551807","37.2768682567827","30.6512431562427","29.6430383077171","34.1596361734282","27.2144532656011","19.7104565183476","16.2700133758731","14.5267984837182","15.9791629841369","13.8000018809852","12.0107013665911","10.4116716625566","10.9143814096284","10.6009348341533","9.63853192914988","10.0812586542662","8.1157332985529","6.9939393243835","7.17007802597407","5.37415400702334","6.48746696594041","5.02012834007603","5.39100921149414","4.29266784289269","5.49855222810306","5.24674495142278","5.2825945732224","5.24089450533278","",
"Bulgaria","BGR","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","0.715171254465224","1.71241766547889","2.98918300328391","4.11885400737609","10.22765625","15.6020988150231","17.1950043215212","22.1668372666098","26.8262112705344","19.4409618104668","6.5714251639833","8.75082495438487","6.57614620070535","13.0359890838798","16.4613851951315","19.7763468588827","15.6253429513857","21.9295641027291","20.7048812055077","18.1817413129023","17.4415130286189","16.641740116197","9.97852870129598","15.2880804037699","25.2721765594596","17.0257865591233","22.5557060012023","17.709855222739","19.9740611459778","15.0815012974469","12.1598518264447","13.3410710249518","13.2942742427865","14.7088069937179","",
"Bahrain","BHR","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.20271591363129","14.2022509133476","13.8477169348201","7.87412943011038","7.6371900969179","6.94370481045491","7.33546987861702","7.41855923137733","7.95692565015796","7.44154118064941","8.83317404735982","14.0733198522004","13.0805176365427","17.3881742431147","16.7738156949444","11.7717779699428","",
"Belarus","BLR","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.644007238643218","4.27933668851153","3.44114968696642","2.29469005640708","2.41104629735534","2.80978916931024","4.16652908651974","4.89276723407031","3.93452030952325","4.01965586200259","3.62903873597498","2.40799661759231","3.93486475342706","3.43424749838421","4.03599830561541","3.27422140871805","6.45345459087667","5.81626237208522","6.8161174037564","9.43249871692167","10.3371027977027","12.0193844492441","",
"Belize","BLZ","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","6.66589684372594","13.386961494472","10.9882434301521","9.58287795992714","8.28833292048551","7.87815412593771","7.16558886929257","6.37145079735511","5.57261124525698","6.2753120665742","8.85343506007344","12.1948253777361","12.7698964954271","11.7192713100475","13.768910458045","10.7768506838772","15.291626862169","19.0018436752398","31.9621328154154","25.2367705910194","37.387239660546","35.7048212128767","16.7172025880041","78.123182973474","16.1558872180856","16.3024406666602","14.5642816194998","13.2904551774602","14.8687576281143","12.739673092649","8.42680197292621","",
"Bermuda","BMU","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Total debt service (% of exports of goods, services and primary income)","DT.TDS.DECT.EX.ZS","","","","","","","","","","","","","","","","","22.5688462747564","24.8397316968746","53.4587818696884","34.1089993130295","35.4603614803481","36.210160532498","59.7489111498258","51.8604004449388","63.8808962264151","50.2982099267697","37.4476761180941","34.3350840336134","54.9300435413643","33.502189289323","39.367955801105","35.7222635099267","37.2443404578222","37.8832358459331","29.5218369728288","29.9283733460106","31.1553971957392","31.6478400042327","29.4820585457979","28.82096873084","39.7586161328394","33.4014409003322","28.9946269684911","21.1829579838497","19.3844775710144","15.3546071774316","9.4571014045801","13.7493900720857","12.7638695457754","10.1649062887962","9.3590027016153","4.73481650371043","5.17088675961331","4.17672501386812","7.28722688661396","",
