"Data Source","World Development Indicators",

"Last Updated Date","2016-07-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Austria","AUT","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Azerbaijan","AZE","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1060119867325","","","","","","","","","","74.30739402771","","","","","","","","","","89.7647649049759","","92.7438706159592","","","",
"Burundi","BDI","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9999980926514","","","","","","","","","","1.9999980926514","","","","","","","","","","1.9999980926514","","1.9999980926514","","","",
"Belgium","BEL","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Benin","BEN","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0793318748474","","","","","","","","","","6.0150623321533","","","","","","","","","","6.2738299369812","","6.2129259109497","","","",
"Burkina Faso","BFA","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9999980926514","","","","","","","","","","3.5417079925537","","","","","","","","","","5.09974360466","","5.2914917469025","","","",
"Bangladesh","BGD","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7831337451935","","","","","","","","","","11.3015532493591","","","","","","","","","","11.065137386322","","10.905259847641","","","",
"Bulgaria","BGR","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5402443408966","","","","","","","","","","80.8707356452942","","","","","","","","","","87.3269692063332","","88.501912355423","","","",
"Bahrain","BHR","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Bahamas, The","BHS","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Bosnia and Herzegovina","BIH","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4138033390045","","","","","","","","","","50.198695063591","","","","","","","","","","43.2285726070404","","41.722571849823","","","",
"Belarus","BLR","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.2353839874268","","","","","","","","","","92.800210416317","","","","","","","","","","98.5999375581741","","99.5253508444875","","","",
