countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Mexico,138,Apples,515,Production (tonnes),5510,505078,511988,561493,584655,630533,375045,
Micronesia (Federated States of),145,Apples,515,Production (tonnes),5510,,,,,,,
Monaco,140,Apples,515,Production (tonnes),5510,,,,,,,
Mongolia,141,Apples,515,Production (tonnes),5510,,,,,,,
Montenegro,273,Apples,515,Production (tonnes),5510,5374,5065,8107,5963,7472,5712,
Montserrat,142,Apples,515,Production (tonnes),5510,,,,,,,
Morocco,143,Apples,515,Production (tonnes),5510,426816,404310,422572,444861,512407,485642,
Mozambique,144,Apples,515,Production (tonnes),5510,,,,,,,
Myanmar,28,Apples,515,Production (tonnes),5510,,,,,,,
Namibia,147,Apples,515,Production (tonnes),5510,,,,,,,
Nauru,148,Apples,515,Production (tonnes),5510,,,,,,,
Nepal,149,Apples,515,Production (tonnes),5510,34546,36396,39134,41754,42704,48946,
Netherlands,150,Apples,515,Production (tonnes),5510,391000,375000,407000,334000,418000,281000,
Netherlands Antilles,151,Apples,515,Production (tonnes),5510,,,,,,,
New Caledonia,153,Apples,515,Production (tonnes),5510,,,,,,,
New Zealand,156,Apples,515,Production (tonnes),5510,421000,446000,431000,450000,445000,448000,
Nicaragua,157,Apples,515,Production (tonnes),5510,,,,,,,
Niger,158,Apples,515,Production (tonnes),5510,,,,,,,
Nigeria,159,Apples,515,Production (tonnes),5510,,,,,,,
Niue,160,Apples,515,Production (tonnes),5510,,,,,,,
Norfolk Island,161,Apples,515,Production (tonnes),5510,,,,,,,
Northern Mariana Islands,163,Apples,515,Production (tonnes),5510,,,,,,,
Norway,162,Apples,515,Production (tonnes),5510,10939,16717,13581,11484,8526,11440,
Occupied Palestinian Territory,299,Apples,515,Production (tonnes),5510,1062,1269,680,550,600,650,
Oman,221,Apples,515,Production (tonnes),5510,,,,,,,
Pacific Islands Trust Territory,164,Apples,515,Production (tonnes),5510,,,,,,,
Pakistan,165,Apples,515,Production (tonnes),5510,441575,441062,366360,525855,598804,620000,
Palau,180,Apples,515,Production (tonnes),5510,,,,,,,
Panama,166,Apples,515,Production (tonnes),5510,,,,,,,
Papua New Guinea,168,Apples,515,Production (tonnes),5510,,,,,,,
Paraguay,169,Apples,515,Production (tonnes),5510,650,653,685,732,699,705,
Peru,170,Apples,515,Production (tonnes),5510,136744,135209,137208,143861,149561,147114,
Philippines,171,Apples,515,Production (tonnes),5510,,,,,,,
Pitcairn Islands,172,Apples,515,Production (tonnes),5510,,,,,,,
Poland,173,Apples,515,Production (tonnes),5510,1039967,2830658,2626273,1877906,2493078,2877336,
Portugal,174,Apples,515,Production (tonnes),5510,245471,237011,263146,212902,247229,186000,
Puerto Rico,177,Apples,515,Production (tonnes),5510,,,,,,,
Qatar,179,Apples,515,Production (tonnes),5510,,,,,,,
Republic of Korea,117,Apples,515,Production (tonnes),5510,435686,470865,494491,460285,379541,394596,
Republic of Moldova,146,Apples,515,Production (tonnes),5510,218189,255086,209594,207903,268842,281849,
Réunion,182,Apples,515,Production (tonnes),5510,58,60,60,70,75,80,
Romania,183,Apples,515,Production (tonnes),5510,475370,459016,517491,552860,620362,462935,
Russian Federation,185,Apples,515,Production (tonnes),5510,2342000,1122400,1441200,992000,1200000,1403000,
Rwanda,184,Apples,515,Production (tonnes),5510,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",187,Apples,515,Production (tonnes),5510,,,,,,,
Saint Kitts and Nevis,188,Apples,515,Production (tonnes),5510,,,,,,,
Saint Lucia,189,Apples,515,Production (tonnes),5510,,,,,,,
Saint Pierre and Miquelon,190,Apples,515,Production (tonnes),5510,,,,,,,
Saint Vincent and the Grenadines,191,Apples,515,Production (tonnes),5510,1300,1400,1540,1058,1210,1196,
Samoa,244,Apples,515,Production (tonnes),5510,,,,,,,
San Marino,192,Apples,515,Production (tonnes),5510,,,,,,,
Sao Tome and Principe,193,Apples,515,Production (tonnes),5510,,,,,,,
Saudi Arabia,194,Apples,515,Production (tonnes),5510,,,,,,,
Senegal,195,Apples,515,Production (tonnes),5510,,,,,,,
Serbia,272,Apples,515,Production (tonnes),5510,245228,235601,281868,239945,265576,178713,
Serbia and Montenegro,186,Apples,515,Production (tonnes),5510,,,,,,,
Seychelles,196,Apples,515,Production (tonnes),5510,,,,,,,
Sierra Leone,197,Apples,515,Production (tonnes),5510,,,,,,,
Singapore,200,Apples,515,Production (tonnes),5510,,,,,,,
Slovakia,199,Apples,515,Production (tonnes),5510,17724,41803,37689,34215,31355,44481,
Slovenia,198,Apples,515,Production (tonnes),5510,114492,102893,95662,117569,105355,55300,
Solomon Islands,25,Apples,515,Production (tonnes),5510,,,,,,,
Somalia,201,Apples,515,Production (tonnes),5510,,,,,,,
South Africa,202,Apples,515,Production (tonnes),5510,708089,770741,817698,724232,781124,795758,
South Sudan,277,Apples,515,Production (tonnes),5510,,,,,,,
Spain,203,Apples,515,Production (tonnes),5510,721178,661724,601979,645918,670264,558900,
Sri Lanka,38,Apples,515,Production (tonnes),5510,,,,,,,
Sudan,276,Apples,515,Production (tonnes),5510,,,,,,,
Sudan (former),206,Apples,515,Production (tonnes),5510,,,,,,,
Suriname,207,Apples,515,Production (tonnes),5510,,,,,,,
Svalbard and Jan Mayen Islands,260,Apples,515,Production (tonnes),5510,,,,,,,
Swaziland,209,Apples,515,Production (tonnes),5510,,,,,,,
Sweden,210,Apples,515,Production (tonnes),5510,21000,22200,21000,23500,20684,22000,
Switzerland,211,Apples,515,Production (tonnes),5510,276939,258530,251054,201641,326533,227106,
Syrian Arab Republic,212,Apples,515,Production (tonnes),5510,280247,360700,360978,393146,307760,334166,
Tajikistan,208,Apples,515,Production (tonnes),5510,111000,185500,148000,156000,183300,218300,
Thailand,216,Apples,515,Production (tonnes),5510,,,,,,,
The former Yugoslav Republic of Macedonia,154,Apples,515,Production (tonnes),5510,152089,174315,106356,121383,124552,127171,
Timor-Leste,176,Apples,515,Production (tonnes),5510,,,,,,,
Togo,217,Apples,515,Production (tonnes),5510,,,,,,,
Tokelau,218,Apples,515,Production (tonnes),5510,,,,,,,
Tonga,219,Apples,515,Production (tonnes),5510,,,,,,,
Trinidad and Tobago,220,Apples,515,Production (tonnes),5510,,,,,,,
Tunisia,222,Apples,515,Production (tonnes),5510,102000,110000,110000,126000,128000,111000,
Turkey,223,Apples,515,Production (tonnes),5510,2457845,2504490,2782365,2600000,2680075,2889000,
Turkmenistan,213,Apples,515,Production (tonnes),5510,63400,61500,64000,69814,76533,82000,
Turks and Caicos Islands,224,Apples,515,Production (tonnes),5510,,,,,,,
Tuvalu,227,Apples,515,Production (tonnes),5510,,,,,,,
Uganda,226,Apples,515,Production (tonnes),5510,,,,,,,
Ukraine,230,Apples,515,Production (tonnes),5510,754900,719300,853400,897000,954100,1126800,
United Arab Emirates,225,Apples,515,Production (tonnes),5510,,,,,,,
United Kingdom,229,Apples,515,Production (tonnes),5510,243100,242900,229000,235450,233750,202900,
United Republic of Tanzania,215,Apples,515,Production (tonnes),5510,,,,,,,
United States of America,231,Apples,515,Production (tonnes),5510,4122880,4369591,4402069,4214599,4275108,4110046,
United States Virgin Islands,240,Apples,515,Production (tonnes),5510,,,,,,,
Uruguay,234,Apples,515,Production (tonnes),5510,66874,51266,58775,52226,73368,80000,
