•ÈÀCountry Name,Country Code,2011 [YR2011] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2011 [YR2011] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2011 [YR2011] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","2011 [YR2011] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]","2011 [YR2011] - Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","2011 [YR2011] - Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]",2011 [YR2011] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2011 [YR2011] - Lending interest rate (%) [FR.INR.LEND],2011 [YR2011] - Real interest rate (%) [FR.INR.RINR],2011 [YR2011] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2011 [YR2011] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2011 [YR2011] - Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",2011 [YR2011] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],2011 [YR2011] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2011 [YR2011] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2011 [YR2011] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2011 [YR2011] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2011 [YR2011] - Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) [SI.SPR.PC40.ZG]",2011 [YR2011] - Income share held by highest 10% [SI.DST.10TH.10],2011 [YR2011] - Income share held by lowest 10% [SI.DST.FRST.10],"2011 [YR2011] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]",2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]","2012 [YR2012] - Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]","2012 [YR2012] - Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","2012 [YR2012] - Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",2012 [YR2012] - Poverty gap at national poverty lines (%) [SI.POV.NAGP],2012 [YR2012] - Urban poverty gap at national poverty lines (%) [SI.POV.URGP],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%) [SI.SPR.PC40.ZG]",2012 [YR2012] - Income share held by highest 10% [SI.DST.10TH.10],2012 [YR2012] - Income share held by lowest 10% [SI.DST.FRST.10],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Latin America & Caribbean (all income levels),LCN,14.58940683,6.670768483,14.45124997,..,..,..,..,..,..,..,46.17741935,..,..,..,..,..,5015.011876,..,..,..,..,13.80679537,6.253446895,14.4051643,..,..,..,..,..,..,..,45.72258065,..,..,..,..,..,5088.42857,..,..,..,..
Latin America & Caribbean (developing only),LAC,12.62694698,6.478097253,13.68990063,..,..,..,0.907551648,..,..,..,44.17619048,..,..,..,..,2.76,4637.92117,..,..,..,..,11.62719713,6.025507649,13.69531482,..,..,..,1.405043933,..,..,..,44.04285714,..,..,..,4.77,2.64,4686.849686,..,..,..,..
Latvia,LVA,54.5,16.20000076,31,..,..,..,..,6.388333333,0.03089408,101.9649673,37,42.26558501,..,..,1.09,1,6561.822641,..,27.41,2.13,18.03465915,52.09999847,14.89999962,28.5,..,..,..,..,5.5175,1.86342981,98.72002133,35.8,41.59453671,..,..,1.02,0.97,6701.420069,-3.039538556,26.63,2.19,19.50098505
Least developed countries: UN classification,LDC,..,6.211388175,..,..,..,..,..,..,..,..,57.79767442,..,..,..,..,..,411.5161731,..,..,..,..,..,6.220463825,..,..,..,..,..,..,..,..,56.63777778,..,..,..,..,..,425.1322829,..,..,..,..
Lebanon,LBN,..,6.199999809,..,..,..,..,3.841956609,7.5275,4.020835202,..,30.6,..,..,..,..,..,5926.690946,..,..,..,24.57915462,..,6.199999809,..,..,..,..,3.557639963,7.249166667,1.677781385,..,30.6,..,7,..,..,..,6078.604506,..,..,..,24.95066717
Lesotho,LSO,..,30.20000076,..,..,..,..,0.284906143,10.42916667,0.43240645,100.565838,14,..,..,..,10.66,..,1115.007986,..,..,..,..,..,27.20000076,..,..,..,..,0.320566878,10.11916667,8.228418899,94.65078876,13.8,..,..,..,12.7,..,1081.835951,..,..,..,..
Liberia,LBR,..,3.700000048,..,..,..,..,0.046179128,13.75083333,2.952691977,..,42.5,..,..,..,..,..,184.3600788,..,..,..,..,..,3.700000048,..,..,..,..,0.07157626,13.51833333,9.165080216,..,25.4,..,..,..,..,..,198.3337797,..,..,..,..
Libya,LBY,..,17.70000076,..,..,..,..,..,6,-10.35995129,..,..,..,..,..,..,..,2114.443054,..,..,..,..,..,19.20000076,48.70000076,..,..,..,..,6,-10.90015518,..,32.8,..,..,..,..,..,4619.269196,..,..,..,..
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,52.09999847,15.30000019,32.59999847,..,..,..,..,..,..,..,43.1,40.75319834,..,..,1.09,0.82,7740.55203,..,24.57,2.55,16.07459499,49.20000076,13.19999981,26.70000076,..,..,..,..,..,..,..,43,46.99984111,..,..,1.02,0.75,8222.063415,-1.765362775,26.84,2.33,19.65257159
Low & middle income,LMY,..,5.512753279,..,..,..,..,0.719294199,..,..,..,47.50084746,..,..,..,..,4.83,1824.444473,..,..,..,..,..,5.522564147,..,..,..,..,0.777850175,..,..,..,46.63553719,..,..,..,4.96,4.35,1915.134077,..,..,..,..
Low income,LIC,..,5.780252454,..,..,..,..,0.246589456,..,..,..,70.81428571,..,..,..,..,19.92,296.5027642,..,..,..,..,..,5.811562864,..,..,..,..,0.331193729,..,..,..,69.27586207,..,..,..,9.58,18.6,302.4029208,..,..,..,..
Lower middle income,LMC,..,5.292687828,..,..,..,..,0.613046467,..,..,..,42.12666667,..,..,..,..,5.31,951.5319278,..,..,..,..,..,5.261546122,12.96186699,..,..,..,0.650104247,..,..,..,40.34347826,..,..,..,5.67,4.69,994.4912383,..,..,..,..
Luxembourg,LUX,28.79999924,4.900000095,16.79999924,..,..,..,..,..,..,100.8274931,19.8,16.99613565,..,..,1.09,..,50474.86615,..,24.51,2.97,47.81017245,30.29999924,5.099999905,18.79999924,..,..,..,..,..,..,98.64751127,20,20.14661994,..,..,1.02,..,49393.31767,-2.67,26.47,2.72,47.73099045
"Macao SAR, China",MAC,8,2.599999905,5.800000191,..,..,..,..,5.25,-1.373603134,..,..,..,..,..,0,..,..,..,..,..,3.402491831,5.699999809,2,5.5,..,..,..,..,5.25,-1.745317303,..,..,..,..,..,0,..,..,..,..,..,3.480097563
"Macedonia, FYR",MKD,82.59999847,31.39999962,55.29999924,19.8,20.3,19.2,1.958844866,8.868461255,4.961615666,101.6333197,7.5,..,..,..,2.04,..,2927.946531,..,..,..,17.87479407,82,31,53.90000153,..,..,..,2.099734142,8.495124184,7.417724969,101.0916576,7.4,..,..,..,1.81,..,2930.670035,..,..,..,18.53766135
Madagascar,MDG,..,3.599999905,..,..,..,..,0.206484239,52.5,40.90373019,..,41.2,..,..,..,6.12,..,252.3984515,..,..,..,25.64786811,..,3.599999905,2.599999905,..,..,..,0.214449854,60,51.67307299,..,39.8,..,..,..,9.14,..,246.8229531,..,..,..,..
Malawi,MWI,..,7.599999905,..,25.1,26.3,23.8,0.139560119,23.75,19.09795554,96.75252706,29,..,..,..,6.16,..,257.3830725,..,..,..,..,..,7.599999905,..,..,..,..,0.238044619,32.32986111,12.42800802,78.9718419,32.4,..,..,..,6.41,..,229.2158324,..,..,..,..
Malaysia,MYS,9.300000191,3.099999905,10,..,..,..,0.670372246,4.915,-0.471868628,100.3674939,34.1,50.02868164,..,..,..,..,4971.985728,..,..,..,70.31100567,8.899999619,3,10.30000019,..,..,..,0.819916653,4.785833333,3.748526193,100.1041649,34.6,51.64648479,..,..,..,..,5058.193361,..,..,..,71.35113391
Maldives,MDV,..,11.60000038,..,..,..,..,0.919944258,10.19722195,-0.397914922,..,9.3,64.89494841,..,..,..,..,..,..,..,..,5.411831541,..,11.69999981,..,..,..,..,0.605809996,10.4838045,4.682599694,..,25.9,..,..,..,..,..,..,..,..,..,..
Mali,MLI,..,8.100000381,10.10000038,..,..,..,0.26366902,..,..,..,51.1,..,..,..,8.4,..,381.4309594,..,..,..,28.74495663,..,8.100000381,..,..,..,..,0.243533774,..,..,..,51.1,..,..,..,8.4,..,346.5799141,..,..,..,31.91777035
Malta,MLT,47.29999924,6.5,13.30000019,..,..,..,..,4.745833333,-2.171192125,99.70083832,41.3,82.77014357,..,..,1.09,..,..,..,..,..,45.80164736,48.59999847,6.400000095,14.10000038,..,..,..,..,4.7025,2.465704017,96.47755871,41.3,87.13057629,..,..,1.02,..,..,..,..,..,47.67375657
Marshall Islands,MHL,..,..,11,..,..,..,..,..,..,..,64.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.8,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,..,31.10000038,..,14.52555,16.41397,12.77774,0.864076718,17,1.488117338,..,68.2,..,..,..,..,..,604.7433294,..,..,..,..,..,31.10000038,..,..,..,..,1.216742402,17,24.24461091,..,68.2,..,..,..,..,..,572.8419303,..,..,..,..
Mauritius,MUS,41.20000076,7.900000095,21.70000076,..,..,..,0.932413824,8.916666667,4.798079633,..,27.7,50.8903412,..,..,0.68,..,5146.980925,..,..,..,22.87817809,29.79999924,8.699999809,23.70000076,..,..,..,0.9804867,8.666666667,5.319343331,..,27.5,50.11400178,..,..,0.83,0.11,5280.970968,0.761110277,29.04,2.98,22.41197336
Mexico,MEX,1.799999952,5.300000191,9.800000191,6.8,9.1,4.4,1.169237724,4.915833333,-0.43183544,100.40417,..,..,..,..,..,..,6642.18034,..,..,..,..,1.700000048,4.900000095,9.300000191,..,..,..,3.049717916,4.730833333,1.473342695,97.53664614,..,..,0.444,..,..,0.67,6786.987547,1.148783774,38.86,1.85,..
"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,14.35,10.61339807,..,59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.32,9.47925102,..,59.9,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (all income levels),MEA,..,11.21693753,..,..,..,..,..,..,..,..,32.295,..,..,..,..,..,3858.021446,..,..,..,..,..,11.30461044,..,..,..,..,..,..,..,..,32.3,..,..,..,..,..,3911.369924,..,..,..,..
Middle East & North Africa (developing only),MNA,..,12.67221689,..,..,..,..,..,..,..,..,40.75,..,..,..,..,..,1904.406831,..,..,..,..,..,12.81723383,..,..,..,..,..,..,..,..,40.00769231,..,..,..,9.92,..,1882.304285,..,..,..,..
Middle income,MIC,..,5.48424433,..,..,..,..,0.731103026,..,..,..,40.24777778,..,..,..,..,3.6,1997.143843,..,..,..,..,..,5.491226671,..,..,..,..,0.789489532,..,..,..,39.49891304,..,..,..,4.86,3.15,2100.096484,..,..,..,..
Moldova,MDA,13,6.699999809,14.89999962,..,..,..,1.216590058,14.43804379,6.305320784,105.8633333,30.8,23.70905587,3.2,1.1,..,0.04,1021.841001,..,24.51,3.5,1.716567131,12.60000038,5.599999905,13.10000038,..,..,..,1.107073312,13.41815434,5.119519578,110.1758333,30.8,24.3259057,2.9,1.3,2.62,0.04,1063.512688,..,23.61,3.76,4.683282675
Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,74,4.800000191,11.89999962,..,..,..,1.750486851,16.60943645,1.294458949,..,24.4,..,9.2,7.7,5.13,0.06,1056.017779,..,26.62,3.24,24.72386514,67.30000305,5,14,16,16.5,15.5,2.422306888,18.11381443,4.725330816,..,24.6,..,7.1,6.2,..,0.06,1293.482449,..,26.19,3.15,20.52090198
Montenegro,MNE,79.59999847,19.70000076,37,..,..,..,1.907365193,9.686666667,8.383142066,..,24.4,..,2,1,3.47,0.08,..,..,24.54,3.36,..,79.09999847,19.60000038,41.09999847,..,..,..,2.303319797,9.5625,9.36888838,..,21.6,..,2.8,2.7,2.63,0.52,..,..,24.42,2.99,..
Morocco,MAR,64.80000305,8.899999619,17.89999962,..,..,..,0.828154689,..,..,97.74331453,49.7,55.62772032,..,..,..,..,1966.27774,..,..,..,35.83308981,65.09999847,9,18.60000038,..,..,..,0.892589718,..,..,95.77163143,49.7,58.22479806,..,..,4.11,..,1967.544829,..,..,..,38.17894223
Mozambique,MOZ,..,22.60000038,..,..,..,..,0.222541009,19.09960595,15.25903025,..,37,..,..,..,..,..,401.5574191,..,..,..,35.06410379,..,22.60000038,39.40000153,..,..,..,0.211690142,16.81354167,10.35281606,..,37,..,..,..,..,..,409.8967253,..,..,..,41.68892234
Myanmar,MMR,..,3.400000095,..,..,..,..,..,16.33333333,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.299999952,..,..,..,..,0.242570569,13,..,..,37.6,..,..,..,..,..,..,..,..,..,..
Namibia,NAM,..,19.79999924,..,..,..,..,..,8.73,4.744407807,..,21.8,35.53584057,..,..,1.05,..,4010.398689,..,..,..,36.90089799,..,16.70000076,34.29999924,..,..,..,..,8.651875,-3.746518127,..,21.8,..,..,..,6.92,..,4269.738847,..,..,..,..
Nepal,NPL,..,2.700000048,..,..,..,..,0.20465848,..,..,..,31.5,..,..,..,12.04,..,355.1285808,..,..,..,23.79042862,..,2.700000048,..,..,..,..,0.201302751,..,..,..,31.5,..,..,..,11.57,..,372.5391641,..,..,..,24.23134202
Netherlands,NLD,33,4.400000095,7.599999905,..,..,..,..,2,1.855470822,99.56165936,39.6,62.42291139,..,..,1.09,..,36755.43241,..,22.66,3.35,47.22033791,33.09999847,5.300000191,9.5,..,..,..,..,1.625,0.202454142,96.9241154,39.2,68.53637215,..,..,1.02,..,36292.13359,-0.01,22.57,3.41,46.5349181
New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,8.199999809,6.5,17.5,..,..,..,..,6.108832515,3.991371267,104.0900341,34.4,63.44802944,..,..,..,..,23088.15659,..,..,..,57.42651663,11.89999962,6.900000095,18,..,..,..,..,5.82383752,5.793912369,107.8350653,34,67.93928495,..,..,..,..,23348.96047,..,..,..,57.3264998
Nicaragua,NIC,..,7.800000191,..,..,..,..,1.668597246,10.53783509,0.206436977,95.95666667,64.1,..,..,..,..,..,1210.066382,..,..,..,35.0160753,..,7.099999905,..,47.74977,56.22113,38.95829,1.782491255,11.99430816,4.57502312,97.96,62.4,..,..,..,..,..,1235.223275,..,..,..,35.21425094
Niger,NER,..,5.099999905,..,..,..,..,0.194022416,..,..,..,44.3,..,19.6,11.3,9.68,13.91,..,..,26.43,3.8,..,..,5.099999905,..,48.5,50.3,46.7,0.158017076,..,..,..,44.3,..,..,..,9.68,..,..,..,..,..,..
Nigeria,NGA,..,7.599999905,5.199999809,35.06192,34.07294,36.04485,0.024546811,16.01666667,5.941525553,100.3125026,..,10.23270482,..,..,..,..,725.8591767,..,..,..,91.86673626,..,7.5,10.10000038,..,..,..,0.032986297,16.7925,6.883105755,111.3767615,..,10.41933685,..,..,..,..,803.287707,..,..,..,90.94850469
North America,NAC,29.34007653,8.827699102,17.01540703,..,..,..,..,..,..,..,20.7,71.02478437,..,..,..,..,36685.66393,..,..,..,..,27.44235557,8.091997263,16.02953789,..,..,..,..,..,..,..,20.1,73.21869877,..,..,..,..,37677.13572,..,..,..,..
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,11.10000038,3.299999952,8.699999809,..,..,..,..,..,..,100.5891716,40.7,20.27956574,..,..,0.45,..,51963.05936,..,20.53,3.68,58.13778377,8.100000381,3.200000048,8.5,..,..,..,..,..,..,100.2441687,40.7,20.77493383,..,..,0.3,..,54170.02794,3.17,20.9,3.63,57.60589434
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,30.87719139,7.975565856,16.62786115,..,..,..,..,..,..,..,40.80967742,61.83202185,..,..,..,..,26108.37532,..,..,..,..,30.0771853,8.020960751,16.85671982,..,..,..,..,..,..,..,41.16129032,68.23782855,..,..,1.68,..,26412.75615,..,..,..,..
Oman,OMN,..,7.5,..,..,..,..,..,6.189,-9.341374994,..,22,..,..,..,..,..,7615.005726,..,..,..,47.48989218,..,7.400000095,..,..,..,..,..,5.651,0.677896878,..,22,..,..,..,4.08,..,8414.388539,..,..,..,46.05657672
Other small states,OSS,..,14.647364,..,..,..,..,..,..,..,..,54.72777778,..,..,..,..,..,2494.65405,..,..,..,..,..,13.94959013,..,..,..,..,..,..,..,..,55.35555556,..,..,..,..,..,2571.649322,..,..,..,..
Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,38.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.62222222,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,..,5.099999905,10.30000019,13,12.5,13.5,0.448280423,..,..,102.8274764,..,..,..,..,..,..,699.7837439,..,..,..,37.06762624,..,5.099999905,..,..,..,..,0.389321124,..,..,104.3807968,..,..,..,..,..,..,707.972279,..,..,..,36.79797369
Palau,PLW,..,..,..,..,..,..,..,..,..,..,72.5,..,..,..,1.54,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.2,..,..,..,2.52,..,..,..,..,..,..
Panama,PAN,23,4.5,12.39999962,..,..,..,2.382709818,6.905833333,2.558120741,..,43.6,..,..,..,..,1.29,5768.681878,..,40.01,1.05,..,19.70000076,4,10.30000019,4.5,5.4,3.5,2.116011372,6.91,3.314701092,..,40.5,..,..,..,..,1.44,6192.905373,4.135607366,39.92,0.99,..
Papua New Guinea,PNG,..,2.400000095,..,..,..,..,0.896070528,10.80833333,6.153901929,108.7291667,42.1,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,0.893715935,10.815,13.99563555,128.0841667,42.1,..,..,..,..,..,..,..,..,..,..
Paraguay,PRY,25.89999962,4.300000191,13,..,..,..,0.668829194,17.39805402,10.5390399,111.8426974,35,..,40,34.4,4.47,1.93,1498.937602,..,41.38,1.08,19.69854398,21.20000076,4.900000095,11.19999981,..,..,..,0.90628305,17.15846732,11.84862741,110.0460008,35,..,37.3,34.4,4.29,1.15,1444.117094,7.206485175,37.42,1.38,20.85021859
Peru,PER,..,3.900000095,9.5,20.7,21.9,19.4,1.202292403,18.677925,12.84785559,..,36.6,20.86107713,7.8,4,1.51,1.14,3260.715993,..,34.19,1.51,44.51630905,..,3.599999905,9.5,..,..,..,1.721986869,19.23690833,16.77082439,..,36.4,19.21165031,7.1,3.7,..,1.13,3481.081984,8.56763202,33.74,1.47,44.33699663
Philippines,PHL,0.800000012,7,16.29999924,9,10.9,7.2,1.191731167,6.66325,2.539402681,100.6774944,44.5,..,..,..,..,..,1503.616539,..,..,..,47.58033253,0.899999976,7,..,..,..,..,0.995741134,5.6795,3.639468291,105.5474538,44.5,51.48241815,5.14329,..,..,2.74,1594.329866,1.148157673,33.4,2.45,47.20600758
Poland,POL,31.60000038,9.600000381,25.79999924,..,..,..,..,..,..,98.56666667,40.1,51.57744021,..,..,1.09,0,8980.994665,..,25.85,3.25,24.36243474,34.79999924,10.10000038,26.5,..,..,..,..,..,..,95.9925,40.3,55.15502839,..,..,1.02,0,9062.099599,1.99382988,25.63,3.31,26.13840148
Portugal,PRT,48.40000153,12.69999981,30.29999924,..,..,..,..,..,..,100.8666594,42.8,102.4101745,..,..,1.09,..,15153.03866,..,28.68,2.47,41.05290404,48.79999924,15.60000038,37.90000153,..,..,..,..,..,..,99.52667061,42,133.8816088,..,..,1.02,..,14510.30436,-1.99,27.77,2.21,39.22014849
Puerto Rico,PRI,..,15.80000019,29.89999962,..,..,..,..,..,..,..,63.1,..,..,..,..,..,..,..,..,..,..,..,14.60000038,26.60000038,..,..,..,..,..,..,..,50.4,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,34.59999847,0.600000024,1.299999952,..,..,..,..,5.487058673,-11.87439716,..,11.3,..,..,..,..,..,45027.4944,..,..,..,..,30.10000038,0.5,..,..,..,..,..,5.38110455,-1.37480942,..,11.3,..,..,..,4.12,..,47985.41939,..,..,..,..
Romania,ROM,41,7.400000095,23.89999962,..,..,..,1.78649528,12.1275,7.052521202,102.8624284,43.5,38.84623743,..,..,1.09,0,5009.184002,..,21.44,3.66,31.77332736,44.20000076,7,22.60000038,..,..,..,1.792990349,11.32916667,6.111991032,96.64508387,43.3,41.48595189,..,..,1.02,0,5051.126488,..,21.46,3.66,31.85729321
Russian Federation,RUS,32.90000153,6.5,15.19999981,..,..,..,..,8.458333333,-6.432428762,104.9217077,..,9.26863863,1.2,..,5.2,0.01,6222.94959,..,31.57,2.29,3.631191895,30.89999962,5.5,14.80000019,..,..,..,..,9.1,1.549113729,106.4767206,..,9.352408819,0.9,..,4.99,0.01,6666.651951,5.861833863,32.22,2.28,3.856134307
Rwanda,RWA,..,0.600000024,..,5.000835,4.992462,5.009021,0.108719902,..,..,..,34.7,..,..,..,6.13,..,355.7427052,..,..,..,38.85269366,..,0.600000024,4.5,..,..,..,0.118957397,..,..,..,34.5,..,..,..,4.64,..,373.5917301,..,..,..,41.35598812
Samoa,WSM,..,..,16.10000038,..,..,..,0.564599278,9.9625,7.496768387,100.9408333,18.4,..,..,..,..,..,..,..,..,..,23.33421052,..,..,19.10000038,..,..,..,0.616729107,9.86,5.658171483,102.9341667,18.4,..,..,..,..,..,..,..,..,..,25.34904252
San Marino,SMR,..,..,..,..,..,..,..,5.92,..,..,..,..,..,..,..,..,..,..,..,..,41.90652414,..,..,..,..,..,..,..,..,..,..,40.1,..,..,..,..,..,..,..,..,..,35.86634801
Sao Tome and Principe,STP,..,..,..,..,..,..,0.225932306,26.95,13.60898506,..,38.7,..,..,..,..,..,..,..,..,..,31.07231654,..,..,..,..,..,..,0.228250799,26.16805556,10.19717621,..,38.7,..,..,..,..,..,..,..,..,..,29.35597858
Saudi Arabia,SAU,50.59999847,5.800000191,29.89999962,..,..,..,..,..,..,96.57666667,14.7,..,..,..,..,..,..,..,..,..,..,41.29999924,5.599999905,28.29999924,..,..,..,..,..,..,99.6125,14.7,..,..,..,4.3,..,..,..,..,..,..
Senegal,SEN,..,10.39999962,12.69999981,13.1,17.6,8.7,0.858481356,..,..,..,45.5,..,..,..,8.42,12.79,671.2119337,-0.230225224,31.05,2.3,25.71295462,..,10.30000019,..,..,..,..,0.736638411,..,..,..,45.5,..,..,..,8.02,..,672.2514212,..,..,..,27.73536883
Serbia,SRB,73.69999695,23,50.90000153,..,..,..,2.099198669,17.17,6.944950291,..,33.3,..,..,..,..,..,..,..,..,..,15.18161296,77.90000153,23.89999962,51.09999847,..,..,..,2.57016031,18.2,11.23283948,..,33.3,..,..,..,..,..,..,..,..,..,13.47297008
Seychelles,SYC,..,..,11,..,..,..,..,11.18993449,6.417483125,..,30,78.84188613,..,..,..,..,..,..,..,..,36.53669772,..,..,..,..,..,..,..,12.19118576,0.998428924,..,23.5,72.99265518,..,..,..,..,..,..,..,..,34.37344904
Sierra Leone,SLE,..,3.400000095,..,..,..,..,0.21276576,21,2.830691822,100.6141718,32.4,..,16.1,7.7,..,16.7,..,..,26.88,3.26,..,..,3.400000095,..,..,..,..,0.170548437,21,8.324579888,117.2584772,32.4,..,..,..,10.31,..,..,..,..,..,..
Singapore,SGP,20.10000038,2.900000095,6.699999809,..,..,..,..,5.38,4.168454108,105.5408795,23.8,106.3022317,..,..,..,..,28434.37558,..,..,..,44.63086301,21,2.799999952,6.699999809,..,..,..,..,5.38,4.17208063,110.40342,18.5,109.7440059,..,..,0,..,28106.82792,..,..,..,44.67617783
Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,64,13.5,33.40000153,..,..,..,..,..,..,101.1791765,50.2,47.05894198,..,..,1.09,0.21,10825.02765,..,20.97,3.19,22.447906,63.70000076,13.89999962,34,..,..,..,..,..,..,100.7383395,49.7,53.30985625,..,..,1.02,0.12,11052.21326,5.484940444,20.5,3.13,24.60253408
Slovenia,SVN,44.20000076,8.199999809,15.69999981,..,..,..,..,..,..,..,32.9,..,..,..,1.09,0,15034.05562,..,20.76,3.92,24.78806503,47.90000153,8.800000191,20.60000038,..,..,..,..,..,..,..,32.9,..,..,..,1.02,0,14315.3974,-0.835708977,21.07,3.72,23.80620776
Small states,SST,..,13.09665985,..,..,..,..,..,..,..,..,45.8475,..,..,..,..,..,3093.865367,..,..,..,..,..,12.79125523,..,..,..,..,..,..,..,..,46.1625,..,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,..,3.599999905,..,..,..,..,0.401189591,13.17238709,2.182706888,103.0966409,26.2,..,..,..,8.5,..,..,..,..,..,..,..,3.799999952,..,..,..,..,0.868028705,11.27888202,4.633287218,112.599895,25.3,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,..,6.900000095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.900000095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,33.90000153,24.70000076,50.29999924,..,..,..,0.875903462,9,2.201760863,97.92166667,31.8,..,..,..,4.46,4.9,5183.603234,4.09,51.26,0.94,57.33178349,33.59999847,25,51.70000076,..,..,..,1.148207871,8.75,3.068624022,92.58833333,32,..,..,..,4.24,..,5222.020734,..,..,..,56.11698982
South Asia,SAS,..,3.821405328,..,..,..,..,0.394998995,..,..,..,45.46,..,..,..,..,4.61,850.1064832,..,..,..,..,..,3.892546207,10.78419317,..,..,..,0.499925571,..,..,..,37.26,..,..,..,8.64,3.73,883.3826837,..,..,..,..
South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.4,..,..,..,..,..,..,..,..,..,..
