Country,Country Code,"2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, bottom 40% (%) [SI.SPR.PC40.ZG]","2012 [YR2012] - Annualized growth in per capita real survey mean consumption or income, total population (%) [SI.SPR.PCAP.ZG]",2012 [YR2012] - GINI index (World Bank estimate) [SI.POV.GINI],2012 [YR2012] - Income share held by highest 20% [SI.DST.05TH.20],2012 [YR2012] - Income share held by lowest 20% [SI.DST.FRST.20],2012 [YR2012] - Number of poor at $1.90 a day (2011 PPP) (millions) [SI.POV.NOP1],"2012 [YR2012] - Population, total [SP.POP.TOTL]",2012 [YR2012] - Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],"2012 [YR2012] - Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day) [SI.SPR.PC40]",2012 [YR2012] - Long-term unemployment (% of total unemployment) [SL.UEM.LTRM.ZS],"2012 [YR2012] - Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","2012 [YR2012] - Unemployment, youth total (% of total labor force ages 15-24) (national estimate) [SL.UEM.1524.NE.ZS]",2012 [YR2012] - Interest payments on external debt (% of GNI) [DT.INT.DECT.GN.ZS],2012 [YR2012] - Lending interest rate (%) [FR.INR.LEND],2012 [YR2012] - Real interest rate (%) [FR.INR.RINR],2012 [YR2012] - Real effective exchange rate index (2010 = 100) [PX.REX.REER],2012 [YR2012] - Total tax rate (% of commercial profits) [IC.TAX.TOTL.CP.ZS],"2012 [YR2012] - Tariff rate, applied, weighted mean, all products (%) [TM.TAX.MRCH.WM.AR.ZS]",2012 [YR2012] - Adjusted net national income per capita (constant 2005 US$) [NY.ADJ.NNTY.PC.KD],"2012 [YR2012] - Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS]"
Uzbekistan,UZB,,,,,,,29774500,,,,10.80000019,,0.340636745,,,,98.7,7.21,,
Italy,ITA,-2.86,-1.82,35.16,41.68,6.23,,59539717,,18.374273,52.59999847,10.69999981,35.29999924,,5.2225,3.789025462,98.21666667,67.6,1.02,23991.56795,53.27661774
Ecuador,ECU,5.5125064,0.96594458,46.57,51.59,4.3,0.905124239,15419493,2.46,3.75324125,4.900000095,4.099999905,11.60000038,0.816938774,,,102.4883126,34.5,4.34,2972.162261,
Belize,BLZ,,,,,,,336707,,,,14.39999962,25,3.374482808,12.44083333,10.29845686,91.66673611,33.2,9.83,2899.564968,33.91934309
Japan,JPN,,,,,,,127561489,,,38.5,4.300000191,8.100000381,,1.4075,2.360664664,100.5491712,,1.22,29210.39226,
Kazakhstan,KAZ,,,27.43,37.09,9.59,0.010074855,16791425,0.01,,16.5,5.300000191,3.900000095,1.336099902,,,,29,2.96,3580.259648,
Moldova,MDA,,,29.16,38.36,8.98,0.012102365,3559519,0.04,,12.60000038,5.599999905,13.10000038,1.107073312,13.41815434,5.119519578,110.1758333,30.8,2.62,1063.512688,4.683282675
Russia,,,,,,,,,,,,,,,,,,,,,
Poland,POL,1.99382988,1.442519068,32.39,40.66,8.03,0.007612633,38063164,0,8.351042405,34.79999924,10.10000038,26.5,,,,95.9925,40.3,1.02,9062.099599,26.13840148
South Korea,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,10.10363021,4.287553527,46.7,50.5,3.27,0.928655713,10238762,4.85,3.704698515,,2.700000048,,0.35339917,11.13494786,3.767190325,107.1567263,83.4,3.66,1026.530002,
Lithuania,LTU,-1.765362775,-1.164148741,35.15,42.02,6.51,0.030774062,2987773,0.75,9.275661879,49.20000076,13.19999981,26.70000076,,,,,43,1.02,8222.063415,19.65257159
Belarus,BLR,,,26.01,35.78,9.65,0,9464000,0,,4.699999809,5.900000095,,1.777347842,19.49166667,-31.88974384,,58.5,1.95,5109.650471,6.839114898
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,-0.835708977,-0.279796041,25.59,35.23,9.43,0.000617148,2057159,0,19.79273239,47.90000153,8.800000191,20.60000038,,,,,32.9,1.02,14315.3974,23.80620776
Peru,PER,8.56763202,3.987067099,45.11,49.94,4.28,1.245557118,30158768,1.13,4.620008839,,3.599999905,9.5,1.721986869,19.23690833,16.77082439,,36.4,,3481.081984,44.33699663
Turkmenistan,TKM,,,,,,,5172941,,,,10.80000019,,0.034151287,,,,,,,
Mauritius,MUS,0.761110277,0.863600275,35.84,43.88,7.42,0.006656175,1255882,0.11,5.538383198,29.79999924,8.699999809,23.70000076,0.9804867,8.666666667,5.319343331,,27.5,0.83,5280.970968,22.41197336
Libya,LBY,,,,,,,,,,,19.20000076,48.70000076,,6,-10.90015518,,32.8,,4619.269196,
Latvia,LVA,-3.039538556,-4.326167635,35.48,42.39,6.34,0.028073602,2034319,0.97,8.305152458,52.09999847,14.89999962,28.5,,5.5175,1.86342981,98.72002133,35.8,1.02,6701.420069,19.50098505
Cyprus,CYP,-2.75,-1.58,34.31,42.74,7.99,,1129303,,23.571668,30.10000038,11.80000019,27.70000076,,,,97.48835426,22.2,1.02,19800.65367,40.09354578
Paraguay,PRY,7.206485175,5.204236828,48.17,52.87,4.02,0.23666691,6379162,1.15,4.796035497,21.20000076,4.900000095,11.19999981,0.90628305,17.15846732,11.84862741,110.0460008,35,4.29,1444.117094,20.85021859
Romania,ROM,,,27.33,36.28,8.91,0,20058035,0,,44.20000076,7,22.60000038,1.792990349,11.32916667,6.111991032,96.64508387,43.3,1.02,5051.126488,31.85729321
Estonia,EST,-2.096641448,-1.241496386,33.15,40.83,7.17,0.01309469,1322696,1.21,11.55141714,54.70000076,10.10000038,20.89999962,,5.747075316,2.959887212,,66.8,1.02,9685.012063,17.95004032
Jamaica,JAM,,,,,,,2707805,,,,13.69999981,34,5.019743522,17.62827224,10.4138852,,46.6,,,37.01687774
Croatia,HRV,,,,,,,4267558,,,63.70000076,15.80000019,42.09999847,,9.480833333,7.776584655,96.05166667,21.2,1.37,8604.060765,13.86045314
Hong Kong,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,6.900000095,,,,,,,,,
Kosovo,KSV,,,29.4,38.31,8.74,0.00054156,1805200,0.01,,,,55.29999924,0.499068109,12.24,9.813280378,,15.6,,,
Turkey,TUR,4.328762193,4.810517186,40.17,46.59,5.8,0.192658063,74099255,0.01,6.670806177,24.89999962,9.199999809,15.69999981,1.543163943,,,,40,,7537.85807,29.98010213
Indonesia,IDN,,,,,,,248037853,,,,6.099999905,19.29999924,0.715675806,11.795,7.750188565,,,,1453.422004,47.43100874
Jordan,JOR,,,,,,,6318000,,,,12.19999981,29.29999924,1.146592686,8.780833333,4.095883171,,28.6,,2565.888164,20.53768574
Azerbaijan,AZE,,,,,,,9295784,,,67.09999847,5.199999809,14.19999981,1.51932265,18.34583333,16.66429915,,40,4.48,1788.207787,43.9253806
Philippines,PHL,1.148157673,0.405350123,43.04,49.64,5.92,12.58787091,96017322,2.74,2.199231215,0.899999976,7,,0.995741134,5.6795,3.639468291,105.5474538,44.5,,1594.329866,47.20600758
China,CHN,,,,,,,1350695000,,,,4.5,,0.460563409,6,3.523559633,108.4325,,,2690.290558,
Bhutan,BTN,6.532871765,6.465591707,38.65,45.92,6.77,0.016361642,743711,0.42,3.526738329,,2.099999905,7.199999809,3.602858659,14,4.414021052,,37.3,,1399.902074,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,,,,,,,7199077,,,77.90000153,23.89999962,51.09999847,2.57016031,18.2,11.23283948,,33.3,,,13.47297008
Bosnia and Herzegovina,BIH,,,,,,,3828419,,,90.5,28.10000038,62.79999924,1.574767794,6.890833333,5.960334598,,23.6,1.41,,13.00686757
Montenegro,MNE,,,32.16,39.99,7.76,0.007819573,620601,0.52,,79.09999847,19.60000038,41.09999847,2.303319797,9.5625,9.36888838,,21.6,2.63,,
Dominican Republic,DOM,1.78790302,-0.196495234,45.68,51.55,5.01,0.263015432,10155036,0.68,4.187618448,42.20000076,14.69999981,31.20000076,1.653694923,15.4825,10.58920093,100.881652,43.4,,4006.782622,
Morocco,MAR,,,,,,,32984190,,,65.09999847,9,18.60000038,0.892589718,,,95.77163143,49.7,4.11,1967.544829,38.17894223
Hungary,HUN,-1.932387075,-0.665867349,30.55,38.58,7.8,0.025792941,9920362,0.21,9.875165115,46.59999847,10.89999962,28.20000076,,9.001544511,5.311233912,97.76166667,49.8,1.02,8445.6489,28.98460042
Pakistan,PAK,,,,,,,177392252,,,,5.099999905,,0.389321124,,,104.3807968,,,707.972279,36.79797369
Lebanon,LBN,,,,,,,,,,,6.199999809,,3.557639963,7.249166667,1.677781385,,30.6,,6078.604506,24.95066717
Portugal,PRT,-1.99,-2.14,36.04,43.17,6.45,,10514844,,11.653326,48.79999924,15.60000038,37.90000153,,,,99.52667061,42,1.02,14510.30436,39.22014849
Macedonia,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,38.7,45.7,6.52,2.86853716,88809200,0.58,,,1.799999952,5.5,0.804163635,13.47166667,2.294928962,,34.3,,792.6212846,
Somaliland region,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,,,,,,,10777500,,,44.59999847,14,37.59999847,1.630732058,,,96.73330611,62.4,,2838.180471,40.78065714
Greece,GRC,-10.02,-8.4,36.68,42.31,5.55,,11045011,,9.6262169,59.09999847,24.20000076,55.29999924,,,,97.59166667,44.1,1.02,15205.01268,36.65875848
Tajikistan,TJK,,,,,,,7930929,,,,11.10000038,,1.249189485,21.09333333,8.246125642,,84.5,5.23,353.5624166,
Mongolia,MNG,,,33.75,41.66,7.65,0.010671688,2808339,0.06,,67.30000305,5,14,2.422306888,18.11381443,4.725330816,,24.6,,1293.482449,20.52090198
Laos,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,,,,,,,168240403,,,,7.5,10.10000038,0.032986297,16.7925,6.883105755,111.3767615,,,803.287707,90.94850469
Honduras,HND,-3.217394433,-2.679658667,57.4,61.13,2.63,1.652437582,7736131,9.25,1.781297082,,4,,0.537977049,18.45069917,14.35696298,,39.5,,1346.472015,32.46551728
Iran,,,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,,,,,,,14786581,,,,13.10000038,15.19999981,0.317928614,12.14976637,7.56014662,100.555,16.2,4.12,766.8386025,
Nepal,NPL,,,,,,,27500515,,,,2.700000048,,0.201302751,,,,31.5,11.57,372.5391641,24.23134202
Palestinian Territories,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,-1.220414923,-1.314202703,28.96,37.82,8.85,0.030745183,2900489,0.22,4.078239506,77.30000305,13.89999962,27.89999962,0.698417997,10.88034654,9.739103093,,38.5,1.09,2952.113217,
Bangladesh,BGD,,,,,,,155257387,,,,4.5,,0.186554141,13,4.470411165,,,,633.9424663,
Sierra Leone,SLE,,,,,,,6043157,,,,3.400000095,,0.170548437,21,8.324579888,117.2584772,32.4,10.31,,
Iraq,IRQ,0.327214877,0.975873642,29.54,38.51,8.8,,32780975,,,,15.19999981,,,13.03416667,10.1111252,,27.8,,,
Namibia,NAM,,,,,,,2291645,,,,16.70000076,34.29999924,,8.651875,-3.746518127,,21.8,6.92,4269.738847,
Cameroon,CMR,,,,,,,21659488,,,,4.099999905,,0.237291433,,,96.65166667,48.8,11.7,838.6989047,
Ethiopia,ETH,,,,,,,92191211,,,35.59999847,5.599999905,26.29999924,0.239431049,,,,32.5,9.96,,
South Africa,ZAF,,,,,,,52341695,,,33.59999847,25,51.70000076,1.148207871,8.75,3.068624022,92.58833333,32,4.24,5222.020734,56.11698982
Sri Lanka,LKA,2.214519524,1.662761185,38.58,46.49,7.27,0.3451656,20424000,0.26,3.374176101,39.29999924,4,17.29999924,0.994034415,13.28166667,2.213494388,,55.3,6.25,,18.98890085
India,IND,,,,,,,1263589639,,,,3.599999905,10.69999981,0.528818457,10.60416667,2.767321537,,,,947.1199432,52.25405805
Myanmar,MMR,,,,,,,,,,,3.299999952,,0.242570569,13,,,37.6,,,
Egypt,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,,,30.48,39.38,8.72,0.051823099,2978339,0.33,,52.70000076,17.29999924,35.40000153,1.61166902,17.23006824,11.28119329,96.80171997,38.8,2.29,1866.222255,28.18277486
Kenya,KEN,,,,,,,42542978,,,,9.199999809,,0.40456365,19.72340665,9.453556297,,43.7,10.49,588.6297375,46.18130481
Ukraine,UKR,,,24.74,35.02,10.22,0,45593300,0,,21.79999924,7.5,17.29999924,2.763123089,18.39221667,9.788593445,102.7808333,55.4,2.06,1862.166816,24.24384937
Ghana,GHA,,,,,,,25544565,,,,3.599999905,,0.552304709,,,88.97842518,32.8,,,
Republic of the Congo,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,,,41.35,47.07,5.28,0.5924925,3825000,5.04,,,15,33.29999924,2.832843719,14.80845,13.41181362,111.2832393,16.5,0.68,2141.423731,39.41309756
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,
Senegal,SEN,,,,,,,13780108,,,,10.30000019,,0.736638411,,,,45.5,8.02,672.2514212,27.73536883
Bulgaria,BGR,1.290478108,1.368433659,36.01,42.7,6.16,0.148309526,7305888,0.77,7.217187949,55.20000076,12.30000019,28.10000038,1.743078244,9.714208333,8.030344963,100.6966667,27.8,1.02,4303.882658,24.78075991
Mauritania,MRT,,,,,,,3777067,,,,31.10000038,,1.216742402,17,24.24461091,,68.2,,572.8419303,
Zimbabwe,ZWE,,,,,,,14565482,,,,5.300000191,,2.537947088,,,,32.7,,419.6687382,
Malawi,MWI,,,,,,,15700436,,,,7.599999905,,0.238044619,32.32986111,12.42800802,78.9718419,32.4,6.41,229.2158324,
Sudan,SDN,,,,,,,37712420,,,,14.60000038,,0.134336964,,,,36.1,,,
Gabon,GAB,,,,,,,1613489,,,,20.29999924,,0.854465328,,,96.44002967,43.5,,3569.563468,
Mali,MLI,,,,,,,16112333,,,,8.100000381,,0.243533774,,,,51.1,8.4,346.5799141,31.91777035
Haiti,HTI,,,60.79,64.29,1.98,5.546707175,10288828,28.9,,,7,,0.039673969,8.934166667,3.465436071,,40.4,3.68,429.3750176,
Botswana,BWA,,,,,,,2132822,,,,17.70000076,,0.166489284,11,10.72408176,,25.4,6.39,5098.075627,33.23764353
Comoros,COM,,,,,,,733661,,,,6.5,,0.400555239,10.5,8.167313646,,217.9,6.03,485.406592,
Ivory Coast,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,8.52889068,4.094210892,30.76,40.21,9.05,0.912183683,14832255,0.97,,,0.200000003,,0.58420021,,,,22.6,,607.6723678,19.41900246
Angola,AGO,,,,,,,22685632,,,,6.900000095,,0.63377165,16.65640132,,,52.1,,,68.14933177
Niger,NER,,,,,,,17635782,,,,5.099999905,,0.158017076,,,,44.3,9.68,,
South Sudan,SSD,,,,,,,10980623,,,,,,,,,,26.4,,,
Chad,TCD,,,,,,,12715465,,,,7,,0.173991871,,,,75.7,,,
Burkina Faso,BFA,,,,,,,16590813,,,,3.299999952,,0.196025318,,,,42.7,8.35,394.2889599,28.74217731
Uganda,UGA,3.901576948,2.94714837,42.37,49.43,6.08,11.76716609,35400620,10.13,1.385365391,,4.199999809,,0.122329619,26.31136912,4.489287509,109.0349247,36.6,6.68,348.5471938,36.43914923
Yemen,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,,,,,,,22293720,,,,3.599999905,2.599999905,0.214449854,60,51.67307299,,39.8,9.14,246.8229531,
Tanzania,TZA,,,,,,,48645709,,,,3.200000048,,0.233777072,15.46046414,4.260831525,,44.9,11.54,490.0108127,27.82543565
Liberia,LBR,,,,,,,4190155,,,,3.700000048,,0.07157626,13.51833333,9.165080216,,25.4,,198.3337797,
Guinea,GIN,,,33.73,41.5,7.56,4.101466121,11628767,10.34,,,1.700000048,1,0.400615179,,,,91.2,11.91,,
Rwanda,RWA,,,,,,,10817350,,,,0.600000024,4.5,0.118957397,,,,34.5,4.64,373.5917301,41.35598812
Benin,BEN,,,,,,,10049792,,,,1,,0.606892024,,,,65.2,15.82,586.8117453,19.68207675
Afghanistan,AFG,,,,,,,29726803,,,,8.5,,0.045533522,15,6.181851186,,36.3,6.79,,32.29654235
Togo,TGO,,,,,,,6745581,,,,7,,0.301471603,,,96.71497262,48.9,11.08,352.3427409,12.66878749
Syria,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,,,,,,,10124572,,,,7,,0.127392026,14.32,-0.950038464,102.1824818,46.5,6.41,106.9796206,
