,,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
35,BRB,Barbados,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,"40,400,000","41,268,410","44,189,280","53,439,620","85,718,560","108,873,000","87,950,000","104,450,000","131,650,000","156,000,000","228,850,000","193,000,000","258,200,000","321,950,000","393,500,000","356,850,000","283,400,000","167,050,000","179,550,000","187,400,000","219,000,000","206,500,000","189,850,000","187,550,000","182,350,000","239,950,000","281,450,000","284,100,000","263,950,000","265,200,000","274,850,000","262,150,000","243,587,500","251,846,000","278,446,700","361,480,300","441,612,400","489,903,400",
36,BLR,Belarus,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,970,100,000","2,510,000,000","4,803,000,000","5,790,100,000","6,918,700,000","6,172,300,000","5,646,400,000","6,640,500,000","7,334,100,000","7,964,700,000","10,076,100,000","13,942,200,000","16,108,800,000","19,834,700,000","24,361,700,000","32,804,700,000"
37,BEL,Belgium,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"23,796,830,000","26,886,440,000","32,698,880,000","40,055,140,000","51,410,170,000","57,573,090,000","50,719,270,000","48,243,460,000","47,597,780,000","48,001,060,000","49,177,740,000","62,913,540,000","77,947,970,000","87,436,030,000","92,123,140,000","110,187,900,000","107,989,600,000","116,840,900,000","106,301,800,000","122,795,100,000","155,219,300,000","154,694,500,000","149,497,000,000","153,558,400,000","161,263,500,000","164,677,500,000","163,497,500,000","169,165,700,000","204,961,900,000","245,425,700,000","263,056,100,000","281,135,100,000","324,913,000,000","373,391,000,000"
38,BLZ,Belize,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,"93,200,000","90,150,000","92,600,000","102,850,000","119,400,000","124,400,000","129,200,000","126,100,000","140,600,000","132,000,000","156,464,000","164,552,000","171,270,000","193,400,000","186,160,000","261,502,700","281,793,900","269,070,600","309,714,200","315,507,700","308,387,600","325,232,500","427,144,000","425,574,400","471,906,800"
39,BEN,Benin,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,"92,985,320","116,096,600","85,858,790","129,062,400","125,562,900","132,906,100","163,953,400","388,037,500","135,356,500","132,297,300","223,820,800","297,821,100","308,686,600","366,344,800","190,194,200","187,904,200","237,493,800","373,533,200","345,078,700","393,479,300","397,904,600","419,936,200","527,652,700","424,023,300","414,279,800","421,451,900","392,358,000","373,480,600","447,832,000","540,841,400","568,568,500","578,276,000","735,458,600","1,046,860,000",
40,BMU,Bermuda,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,756,560","25,140,290","24,875,140"
41,BTN,Bhutan,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BOL,Bolivia,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,"563,000,000","634,300,000","627,300,000","759,800,000","942,200,000","912,400,000","827,700,000","755,100,000","724,500,000","623,400,000","545,500,000","518,700,000","542,500,000","723,500,000","830,800,000","760,300,000","608,400,000","715,500,000","985,100,000","1,041,400,000","1,131,990,000","1,166,600,000","1,104,000,000","1,051,200,000","1,246,074,000","1,284,766,000","1,298,716,000","1,597,843,000","2,146,048,000","2,791,140,000","3,874,518,000","4,458,274,000","6,447,812,000"
43,BIH,Bosnia and Herzegovina,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663,834,800","831,757,800","1,129,815,000","1,134,207,000","1,109,709,000","1,477,487,000","2,086,675,000","2,555,320,000","3,381,441,000","4,243,324,000","5,194,013,000"
44,BWA,Botswana,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"141,986,400","169,740,000","191,576,900","223,387,600","442,205,000","544,501,200","401,320,200","460,637,100","640,335,000","677,694,100","727,648,600","852,462,500","1,586,595,000","1,468,948,000","1,819,656,000","1,795,357,000","1,871,132,000","1,743,924,000","1,722,151,000","1,874,326,000","2,160,193,000","2,217,532,000","2,819,830,000","2,060,631,000","2,658,168,000","2,675,362,000","2,314,506,000","2,345,617,000","3,024,347,000","3,695,944,000","4,443,502,000","4,520,844,000","5,051,882,000","4,706,921,000"
45,BRA,Brazil,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,"8,492,000,000","9,961,000,000","11,923,000,000","12,473,000,000","15,244,000,000","20,132,000,000","23,276,000,000","20,173,000,000","21,898,000,000","27,002,000,000","25,634,000,000","22,348,000,000","26,210,000,000","33,773,000,000","34,375,000,000","31,408,000,000","31,619,000,000","35,793,000,000","39,630,000,000","44,102,000,000","46,506,000,000","47,851,000,000","53,189,000,000","51,136,000,000","48,011,000,000","55,085,590,000","58,222,640,000","60,361,790,000","73,084,140,000","96,475,220,000","118,308,400,000","137,807,500,000","160,649,100,000","197,942,400,000"
46,BRN,Brunei Darussalam,BX.GSR.MRCH.CD,Goods exports (BoP current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,639,961,000","3,701,968,000","4,422,210,000","5,066,002,000","6,247,005,000","7,627,003,000","7,667,963,000","10,543,500,000"
