countries,country codes,item,item codes,element,element codes,2007,2008,2009,2010,2011,2012,2013
Serbia and Montenegro,186,Grapes,560,Production (tonnes),5510,,,,,,,
Seychelles,196,Grapes,560,Production (tonnes),5510,,,,,,,
Sierra Leone,197,Grapes,560,Production (tonnes),5510,,,,,,,
Singapore,200,Grapes,560,Production (tonnes),5510,,,,,,,
Slovakia,199,Grapes,560,Production (tonnes),5510,49142,51617,42131,21120,49015,52209,
Slovenia,198,Grapes,560,Production (tonnes),5510,122543,105719,112855,108541,121396,92324,
Solomon Islands,25,Grapes,560,Production (tonnes),5510,,,,,,,
Somalia,201,Grapes,560,Production (tonnes),5510,,,,,,,
South Africa,202,Grapes,560,Production (tonnes),5510,1812410,1865282,1748590,1743496,1683927,1839030,
South Sudan,277,Grapes,560,Production (tonnes),5510,,,,,,,
Spain,203,Grapes,560,Production (tonnes),5510,5962643,5951581,5535333,6107617,5809315,5238300,
Sri Lanka,38,Grapes,560,Production (tonnes),5510,,,,,,,
Sudan,276,Grapes,560,Production (tonnes),5510,,,,,,,
Sudan (former),206,Grapes,560,Production (tonnes),5510,,,,,,,
Suriname,207,Grapes,560,Production (tonnes),5510,,,,,,,
Svalbard and Jan Mayen Islands,260,Grapes,560,Production (tonnes),5510,,,,,,,
Swaziland,209,Grapes,560,Production (tonnes),5510,,,,,,,
Sweden,210,Grapes,560,Production (tonnes),5510,,,,,,,
Switzerland,211,Grapes,560,Production (tonnes),5510,131837,136069,141002,130577,128940,127153,
Syrian Arab Republic,212,Grapes,560,Production (tonnes),5510,273028,280900,358000,325697,337961,325000,
Tajikistan,208,Grapes,560,Production (tonnes),5510,116934,117897,138677,124299,154700,167101,
Thailand,216,Grapes,560,Production (tonnes),5510,71561,73289,75403,77285,78458,80000,
The former Yugoslav Republic of Macedonia,154,Grapes,560,Production (tonnes),5510,209701,236834,253456,253372,235104,240461,
Timor-Leste,176,Grapes,560,Production (tonnes),5510,,,,,,,
Togo,217,Grapes,560,Production (tonnes),5510,,,,,,,
Tokelau,218,Grapes,560,Production (tonnes),5510,,,,,,,
Tonga,219,Grapes,560,Production (tonnes),5510,,,,,,,
Trinidad and Tobago,220,Grapes,560,Production (tonnes),5510,,,,,,,
Tunisia,222,Grapes,560,Production (tonnes),5510,102000,122000,97000,97000,114000,115000,
Turkey,223,Grapes,560,Production (tonnes),5510,3612781,3918440,4264720,4255000,4296351,4275659,
Turkmenistan,213,Grapes,560,Production (tonnes),5510,337000,221500,230000,242400,235000,240000,
Turks and Caicos Islands,224,Grapes,560,Production (tonnes),5510,,,,,,,
Tuvalu,227,Grapes,560,Production (tonnes),5510,,,,,,,
Uganda,226,Grapes,560,Production (tonnes),5510,,,,,,,
Ukraine,230,Grapes,560,Production (tonnes),5510,359700,415300,468700,407900,521900,456000,
United Arab Emirates,225,Grapes,560,Production (tonnes),5510,50,50,53,52,53,55,
United Kingdom,229,Grapes,560,Production (tonnes),5510,1000,1064,1018,1000,986,1000,
United Republic of Tanzania,215,Grapes,560,Production (tonnes),5510,16500,15500,16500,18000,17691,18000,
United States of America,231,Grapes,560,Production (tonnes),5510,6402277,6639960,6629198,6777731,6756449,6661820,
United States Virgin Islands,240,Grapes,560,Production (tonnes),5510,,,,,,,
Uruguay,234,Grapes,560,Production (tonnes),5510,133009,112883,87498,110292,126187,130000,
USSR,228,Grapes,560,Production (tonnes),5510,,,,,,,
Uzbekistan,235,Grapes,560,Production (tonnes),5510,880300,791000,899600,987300,1090200,1120000,
Vanuatu,155,Grapes,560,Production (tonnes),5510,,,,,,,
Venezuela (Bolivarian Republic of),236,Grapes,560,Production (tonnes),5510,16836,17000,16000,17870,19381,20000,
Viet Nam,237,Grapes,560,Production (tonnes),5510,28200,26300,24000,16700,14751,15308,
Wallis and Futuna Islands,243,Grapes,560,Production (tonnes),5510,,,,,,,
Western Sahara,205,Grapes,560,Production (tonnes),5510,,,,,,,
Yemen,249,Grapes,560,Production (tonnes),5510,125800,127132,129385,166278,149068,154869,
Yugoslav SFR,248,Grapes,560,Production (tonnes),5510,,,,,,,
Zambia,251,Grapes,560,Production (tonnes),5510,,,,,,,
Zimbabwe,181,Grapes,560,Production (tonnes),5510,2900,2896,3094,3132,3078,3200,
Net Food Importing Developing Countries + (Total),5817,Grapes,560,Production (tonnes),5510,2789728,2851212,2767265,2834919,2955684,3146135,
Low Income Food Deficit Countries + (Total),5815,Grapes,560,Production (tonnes),5510,3222938,3181835,3475119,2599492,3166888,3319436,
European Union + (Total),5706,Grapes,560,Production (tonnes),5510,25199600,25546405,25474151,24522247,25157948,21543396,
Least Developed Countries + (Total),5801,Grapes,560,Production (tonnes),5510,522325,524219,543179,599237,676874,780934,
Land Locked Developing Countries + (Total),5802,Grapes,560,Production (tonnes),5510,2928251,2755354,3026331,2934407,3269556,3373646,
Small Island Developing States + (Total),5803,Grapes,560,Production (tonnes),5510,20000,20000,19000,20000,21000,22000,
World + (Total),5000,Grapes,560,Production (tonnes),5510,65422019,67461040,68294187,67460130,69992067,67067129,
Africa + (Total),5100,Grapes,560,Production (tonnes),5510,4057862,4297448,4135683,4201474,3998952,4313356,
 --Eastern Africa + (Total),5101,Grapes,560,Production (tonnes),5510,39643,36198,39084,39331,38656,39440,
 --Middle Africa + (Total),5102,Grapes,560,Production (tonnes),5510,,,,,,,
 --Northern Africa + (Total),5103,Grapes,560,Production (tonnes),5510,2185809,2376204,2328009,2397147,2254369,2411886,
 --Southern Africa + (Total),5104,Grapes,560,Production (tonnes),5510,1832410,1885046,1768590,1764996,1705927,1862030,
 --Western Africa + (Total),5105,Grapes,560,Production (tonnes),5510,,,,,,,
Americas + (Total),5200,Grapes,560,Production (tonnes),5510,14098857,14132979,13586566,14546891,15243717,15257260,
 --Northern America + (Total),5203,Grapes,560,Production (tonnes),5510,6474099,6720922,6696708,6853329,6847036,6756361,
 --Central America + (Total),5204,Grapes,560,Production (tonnes),5510,371257,323441,291305,324186,298389,393980,
 --Caribbean + (Total),5206,Grapes,560,Production (tonnes),5510,20000,20000,19000,20000,21000,22000,
 --South America + (Total),5207,Grapes,560,Production (tonnes),5510,7233501,7068616,6579553,7349376,8077292,8084919,
Asia + (Total),5300,Grapes,560,Production (tonnes),5510,18197716,18974249,20531933,20079591,21089997,21874775,
 --Central Asia + (Total),5301,Grapes,560,Production (tonnes),5510,1392198,1174348,1336273,1414858,1543697,1606651,
 --Eastern Asia + (Total),5302,Grapes,560,Production (tonnes),5510,7324675,7770736,8573881,9142174,9616030,10175484,
 --Southern Asia + (Total),5303,Grapes,560,Production (tonnes),5510,4120669,4430767,4625727,3597785,3904496,4043565,
 --South-Eastern Asia + (Total),5304,Grapes,560,Production (tonnes),5510,99886,99740,99550,94137,93371,95477,
 --Western Asia + (Total),5305,Grapes,560,Production (tonnes),5510,5260288,5498658,5896502,5830637,5932403,5953598,
Europe + (Total),5400,Grapes,560,Production (tonnes),5510,27332145,27814574,27957993,26681829,27615684,23625117,
 --Eastern Europe + (Total),5401,Grapes,560,Production (tonnes),5510,3218816,3412697,3392924,2556940,3257086,2711327,
 --Northern Europe + (Total),5402,Grapes,560,Production (tonnes),5510,1000,1064,1018,1000,986,1000,
 --Southern Europe + (Total),5403,Grapes,560,Production (tonnes),5510,16192362,16476181,16753428,16998846,15995505,13921061,
 --Western Europe + (Total),5404,Grapes,560,Production (tonnes),5510,7919967,7924632,7810623,7125043,8362107,6991729,
Oceania + (Total),5500,Grapes,560,Production (tonnes),5510,1735439,2241790,2082012,1950345,2043717,1996621,
 --Australia & New Zealand + (Total),5501,Grapes,560,Production (tonnes),5510,1735439,2241790,2082012,1950345,2043717,1996621,
 --Melanesia + (Total),5502,Grapes,560,Production (tonnes),5510,,,,,,,
 --Micronesia + (Total),5503,Grapes,560,Production (tonnes),5510,,,,,,,
 --Polynesia + (Total),5504,Grapes,560,Production (tonnes),5510,,,,,,,
